Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;87.0640051225361;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;1002.0669853188368;1431.2568703646145;1431.2568703646145;6854.987921602016;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.961348403911;-8392.87008;-342.09126840391076;0.0;16387.31;-8.14427207538634;-865.9161196965615
2;74.47201430154149;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;608.5398541571869;1431.2568703646145;1431.2568703646145;6809.9310247784;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.0810155067;-8201.705759999999;-335.37525550670006;0.0;16387.31;107.72087136757861;-865.9161196965615
3;72.09442798941473;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;534.2171938577333;1431.2568703646145;1431.2568703646145;6512.1804681070635;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.10452061902;-8226.511199999999;-336.59332061902035;0.0;16387.31;377.7861525566307;-865.9161196965615
4;70.50569035364335;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;484.5719640908612;1431.2568703646145;1431.2568703646145;6313.677068456805;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596789967978;-8386.32576;-343.2710299679793;0.0;16387.31;653.7196428876007;-865.9161196965615
5;70.20151751294016;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;475.0757355349568;1431.2568703646145;1431.2568703646145;6275.881398298736;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192210554349;-8826.861120000001;-361.331090554348;0.0;16387.31;972.0234382940723;-865.9161196965615
6;72.1399967900364;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;535.6609425752238;1431.2568703646145;1431.2568703646145;6518.373970807951;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.57921664917;-9670.89264;-395.6865766491704;0.0;16387.31;1277.952028964049;-865.9161196965615
7;86.99942421799281;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;1000.0488160323187;1431.2568703646145;1431.2568703646145;6854.987921602005;6854.987921601974;6854.987921601974;0.0;8966.967779462479;8966.967779462479;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.252459891968;-11383.265759999998;-463.98669989197015;0.0;16387.31;1996.9783051544596;-865.9161196965615
8;117.77385569157919;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;1431.256870369245;1431.2568703646145;1431.2568703646145;6854.987921601988;6854.987921601974;6854.987921601974;347.1852603320772;8966.967779462479;8966.967779462479;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.195087985292;-12494.90304;-505.29204798529236;0.0;16387.31;2197.3139526963173;-865.9161196965615
9;138.9450477122217;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;1431.2568703692434;1431.2568703646145;1431.2568703646145;6854.987921601965;6854.987921601974;6854.987921601974;611.8251598019244;8966.967779462479;8966.967779462479;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13590.48589006501;-13065.01968;-525.4662100650114;0.0;16387.31;2243.2287624559267;-865.9161196965615
10;104.03819008075507;70000.00099293845;17253.212571434546;16387.31;17253.212571434546;1431.256870368747;1431.2568703646145;1431.2568703646145;6854.987921602018;6854.987921601974;6854.987921601974;175.48944085140732;8966.967779462479;8966.967779462479;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.79607266329;-13201.0584;-535.7376726632893;0.0;16387.31;2474.9494500564997;-865.9161196965615
