Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;61.447144594022724;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;263.9709395591464;1893.8004259450365;1893.8004259450365;3930.8326748984373;4597.759873208259;4597.759873208259;0.0;7747.502800242678;7747.502800242678;2850.9999974820003;0.0;5439.0;0.0;0.0;10794.0;-8205.954575105186;-7882.5599999999995;-323.39457510518673;0.0;19014.336;1160.1508795024204;4775.272956710425
2;59.264632815778654;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;195.7676286692254;1893.8004259450365;1893.8004259450365;3658.0234268188256;4597.759873208259;4597.759873208259;0.0;7747.502800242678;7747.502800242678;2692.000002636;0.0;5439.0;0.0;0.0;10794.0;-7809.6189135592485;-7501.679999999999;-307.93891355924933;0.0;19014.336;1263.8277783164415;4775.272956710425
3;58.41816785781654;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;169.31585225180996;1893.8004259450365;1893.8004259450365;3552.2218815755637;4597.759873208259;4597.759873208259;0.0;7747.502800242678;7747.502800242678;2451.000001212;0.0;5439.0;0.0;0.0;10794.0;-7638.285245587136;-7337.04;-301.2452455871359;0.0;19014.336;1465.7474425360363;4775.272956710425
4;57.96127859180469;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;155.0378864705448;1893.8004259450365;1893.8004259450365;3495.1116220856707;4597.759873208259;4597.759873208259;0.0;7747.502800242678;7747.502800242678;2378.0000003970003;0.0;5439.0;0.0;0.0;10794.0;-7495.902759314829;-7200.24;-295.6627593148295;0.0;19014.336;1467.753179815762;4775.272956710425
5;60.59652775555187;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;237.50079034151577;1893.8004259450365;1893.8004259450365;3826.981057490916;4597.759873208259;4597.759873208259;0.0;7747.502800242678;7747.502800242678;2491.0000008389998;0.0;5439.0;0.0;0.0;10794.0;-7569.660260909635;-7271.28;-298.38026090963587;0.0;19014.336;1014.1824594600256;4775.272956710425
6;67.39930605399873;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;450.0219521436092;1893.8004259450365;1893.8004259450365;4597.759872116691;4597.759873208259;4597.759873208259;0.0;7747.502800242678;7747.502800242678;2617.999998159;0.0;5439.0;0.0;0.0;10794.0;-7976.620184623612;-7662.719999999999;-313.90018462361246;0.0;19014.336;310.83996967958194;4775.272956710425
7;89.94951144370857;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;1154.7007071151775;1893.8004259450365;1893.8004259450365;4597.759873206916;4597.759873208259;4597.759873208259;174.37332893793726;7747.502800242678;7747.502800242678;2687.000000643;0.0;5439.0;0.0;0.0;10794.0;-8866.51742859107;-8519.52;-346.99742859107096;0.0;19014.336;252.68456228770137;4775.272956710425
8;183.28952166765583;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;1893.8004259441864;1893.8004259450365;1893.8004259450365;4597.75987320693;4597.759873208259;4597.759873208259;1341.116149647134;7747.502800242678;7747.502800242678;707.6372659440001;0.0;5439.0;91.00000434;0.0;10794.0;-9631.314395488318;-9263.039999999999;-368.27439548831853;0.0;19014.336;1000.0000000000006;4775.272956710425
9;113.72581482422963;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;1893.8004246452263;1893.8004259450365;1893.8004259450365;4597.7598732069255;4597.759873208259;4597.759873208259;471.5720347504296;7747.502800242678;7747.502800242678;687.446528559;0.0;5439.0;1063.999995114;0.0;10794.0;-10216.368124005596;-9818.88;-397.4881240055974;0.0;19014.336;1501.789114714815;4775.272956710425
10;83.71635385213676;70000.00004963465;14239.063099393814;19014.336;14239.063099393814;959.8728555021783;1893.8004259450365;1893.8004259450365;4597.75987320691;4597.759873208259;4597.759873208259;96.45236205895468;7747.502800242678;7747.502800242678;623.028459333;0.0;5439.0;3029.999995764;0.0;10794.0;-10307.11403133597;-9903.119999999999;-403.99403133597076;0.0;19014.336;1000.0000000000106;4775.272956710425
