Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;29.567700764541065;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10516.23177661016;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2742.249994848;0.0;11706.0;0.0;0.0;27259.0;-11468.358067211204;-11012.88;-455.47806721120514;0.0;16068.195;-1790.1236697482382;3261.3725481188158
2;28.88508951918952;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10516.231776609993;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2703.49999764;0.0;11706.0;0.0;0.0;27259.0;-10984.576178503234;-10548.24;-436.3361785032343;0.0;16068.195;-2235.1555612316074;3261.3725481188158
3;28.620287133936767;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10516.231776607428;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2692.999996584;0.0;11706.0;0.0;0.0;27259.0;-10639.704014320228;-10217.039999999999;-422.6640143202287;0.0;16068.195;-2569.5277243451515;3261.3725481188158
4;28.496662513394245;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10496.644471617734;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2669.000004204;0.0;11706.0;0.0;0.0;27259.0;-10542.244955701884;-10123.44;-418.8049557018842;0.0;16068.195;-2623.3995231268545;3261.3725481188158
5;28.581813381882057;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10516.231776586255;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2624.250003048;0.0;11706.0;0.0;0.0;27259.0;-10640.957751712827;-10218.24;-422.71775171282735;0.0;16068.195;-2499.5239934038323;3261.3725481188158
6;29.28195026795623;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10516.231776610004;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2601.249995718;0.0;11706.0;0.0;0.0;27259.0;-11037.517053002319;-10599.119999999999;-438.39705300232066;0.0;16068.195;-2079.9646848129537;3261.3725481188158
7;56.166276460287186;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;516.6284351972663;1755.2185894571949;1755.2185894571949;10516.231776610008;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;2637.249995994;0.0;11706.0;0.0;0.0;27259.0;-12428.76530217656;-11938.32;-490.4453021765611;0.0;16068.195;-1241.3448694142503;3261.3725481188158
8;155.73804309414092;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;1755.2185894571949;1755.2185894571949;1755.2185894571949;10516.231776610008;10516.231776609398;10516.231776609398;535.3720857796238;535.3720857796259;535.3720857796259;316.80000477;0.0;11706.0;22.000002907;0.0;27259.0;-13857.385116998956;-13323.84;-533.5451169989565;0.0;16068.195;711.7626574757361;3261.3725481188158
9;91.75394661897595;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;1755.2185894571946;1755.2185894571949;1755.2185894571949;10516.231776610008;10516.231776609398;10516.231776609398;221.92434168516692;535.3720857796259;535.3720857796259;2507.999999718;0.0;11706.0;428.25001167199997;0.0;27259.0;-14415.760822934124;-13851.84;-563.9208229341242;0.0;16068.195;-1013.8638739077654;3261.3725481188158
10;51.809054560743306;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;80.90586527473916;1755.2185894571949;1755.2185894571949;10516.231776610008;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;1996.99999515;0.0;11706.0;1420.2499990219999;0.0;27259.0;-14205.63637901915;-13644.48;-561.1563790191506;0.0;16068.195;191.24876138487687;3261.3725481188158
11;33.02558956214589;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;10516.231776610008;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;1548.250005204;0.0;11706.0;2379.750007478;0.0;27259.0;-13723.2163295436;-13178.64;-544.5763295436004;0.0;16068.195;-721.0154241017749;3261.3725481188158
12;26.841277817605942;60017.43705881395;12806.82245184774;16068.195;12806.82245184774;0.0;1755.2185894571949;1755.2185894571949;8841.188856560624;10516.231776609398;10516.231776609398;0.0;535.3720857796259;535.3720857796259;1360.249994658;0.0;11706.0;3263.5000080930004;0.0;27259.0;-13322.173198464003;-12792.72;-529.4531984640038;0.0;16068.195;-142.76567881167722;3261.3725481188158
