Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;55.68;34772.89;54397.05;27807.67;27807.67;27807.67;1461.72;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;22045.75;0.0;72618.0;45704.79;43901.04;1803.75;55397.05;-5610.35;1000.0;0.0
2.0;54.51;34772.89;54397.05;27807.67;27807.67;27807.67;1097.98;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;20881.0;0.0;72618.0;44278.35;42530.4;1747.95;55397.05;-5508.3;1000.0;0.0
3.0;55.04;34772.89;54397.05;27807.67;27807.67;27807.67;1262.34;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;20062.25;0.0;72618.0;43709.43;41984.16;1725.27;55397.05;-5422.83;1000.0;0.0
4.0;56.2;34772.89;54397.05;27807.67;27807.67;27807.67;1626.19;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;19590.5;0.0;72618.0;44013.0;42276.24;1736.76;55397.05;-5011.36;1000.0;0.0
5.0;58.73;34772.89;54397.05;27807.67;27807.67;27807.67;2414.59;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;19433.0;0.0;72618.0;45491.52;43697.52;1794.0;55397.05;-4163.74;1000.0;0.0
6.0;65.97;34772.89;54397.05;27807.67;27807.67;27807.67;4677.58;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;19542.0;0.0;72618.0;49091.09;47158.56;1932.53;55397.05;-2936.15;1000.0;0.0
7.0;85.52;34772.89;54397.05;27807.67;27807.67;27807.67;9693.67;9693.67;9693.67;35.5;0.0;86952.0;1440.3;16895.71;16895.71;19970.75;0.0;72618.0;55926.88;53735.76;2191.12;55397.05;-3021.01;1000.0;0.0
8.0;128.37;34772.89;54397.05;27807.67;27807.67;27807.67;9693.67;9693.67;9693.67;2229.0;0.0;86952.0;6795.91;16895.71;16895.71;19768.75;0.0;72618.0;60295.0;57957.6;2337.4;55397.05;-6000.0;1000.0;0.0
9.0;102.46;34772.89;54397.05;27807.67;27807.67;27807.67;9693.67;9693.67;9693.67;9530.75;0.0;86952.0;3558.12;16895.71;16895.71;17855.0;0.0;72618.0;62888.99;60435.36;2453.63;55397.05;-5556.22;1000.0;0.0
10.0;65.33;34772.89;54397.05;27807.67;27807.67;27807.67;4476.99;9693.67;9693.67;19429.0;0.0;86952.0;0.0;16895.71;16895.71;14545.0;0.0;72618.0;63095.51;60611.28;2484.23;55397.05;-3163.16;1000.0;0.0
11.0;45.77;34772.89;54397.05;22218.0;27807.67;27807.67;0.0;9693.67;9693.67;28515.0;0.0;86952.0;0.0;16895.71;16895.71;13914.0;0.0;72618.0;62329.46;59863.68;2465.78;55397.05;-2317.54;1000.0;0.0
12.0;34.43;34772.89;54397.05;8036.81;27807.67;27807.67;0.0;9693.67;9693.67;35306.25;0.0;86952.0;0.0;16895.71;16895.71;14956.25;0.0;72618.0;60162.03;57775.44;2386.59;55397.05;1862.72;1000.0;0.0
13.0;28.45;34772.89;54397.05;561.38;27807.67;27807.67;0.0;9693.67;9693.67;39113.0;0.0;86952.0;0.0;16895.71;16895.71;16080.75;0.0;72618.0;57893.53;55593.6;2299.93;55397.05;2138.39;1000.0;0.0
14.0;0.0;34772.89;54397.05;0.0;27807.67;27807.67;0.0;9693.67;9693.67;38950.37;0.0;86952.0;0.0;16895.71;16895.71;17593.5;0.0;72618.0;56958.25;54679.92;2278.33;55397.05;414.38;1000.0;0.0
15.0;0.0;34772.89;54397.05;0.0;27807.67;27807.67;0.0;9693.67;9693.67;37818.25;0.0;86952.0;0.0;16895.71;16895.71;18194.28;0.0;72618.0;55617.5;53392.8;2224.7;55397.05;-395.03;1000.0;0.0
16.0;32.76;34772.89;54397.05;5944.06;27807.67;27807.67;0.0;9693.67;9693.67;33166.75;0.0;86952.0;0.0;16895.71;16895.71;14724.7;0.0;72618.0;54819.04;52643.52;2175.52;55397.05;983.53;1000.0;0.0
17.0;32.05;34772.89;54397.05;5063.59;27807.67;27807.67;0.0;9693.67;9693.67;26151.75;0.0;86952.0;0.0;16895.71;16895.71;24635.0;0.0;72618.0;54704.96;52533.6;2171.36;55397.05;-1145.38;1000.0;0.0
18.0;42.01;34772.89;54397.05;17511.54;27807.67;27807.67;0.0;9693.67;9693.67;16499.25;0.0;86952.0;0.0;16895.71;16895.71;26239.75;0.0;72618.0;56492.51;54255.6;2236.91;55397.05;-3758.03;1000.0;0.0
19.0;203.64;34772.89;54397.05;27807.67;27807.67;27807.67;9693.67;9693.67;9693.67;6593.5;0.0;86952.0;16204.53;16895.71;16895.71;26005.25;0.0;72618.0;91539.01;91539.0;0.02;55397.05;5234.39;1000.0;4461.0
20.0;261.61;34772.89;54397.05;27807.67;27807.67;27807.67;9693.67;9693.67;9693.67;1033.5;0.0;86952.0;16895.71;16895.71;16895.71;4894.1;0.0;72618.0;59580.35;57492.72;2087.63;55397.05;-744.3;1000.0;0.0
21.0;176.67;34772.89;54397.05;27807.67;27807.67;27807.67;9693.67;9693.67;9693.67;5.0;0.0;86952.0;12834.16;16895.71;16895.71;13883.4;0.0;72618.0;59205.37;57020.4;2184.97;55397.05;-5018.53;1000.0;0.0
22.0;71.37;34772.89;54397.05;27807.67;27807.67;27807.67;6364.14;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;29112.0;0.0;72618.0;57285.09;55032.96;2252.13;55397.05;-5998.72;1000.0;0.0
23.0;62.37;34772.89;54397.05;27807.67;27807.67;27807.67;3553.29;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;28376.25;0.0;72618.0;53737.21;51619.92;2117.29;55397.05;-6000.0;1000.0;0.0
24.0;53.36;34772.89;54397.05;27807.67;27807.67;27807.67;737.77;9693.67;9693.67;0.0;0.0;86952.0;0.0;16895.71;16895.71;27203.75;0.0;72618.0;49749.19;47784.72;1964.47;55397.05;-6000.0;1000.0;0.0
