Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;55.69;33301.7;10557.18;3210.69;3979.82;3979.82;83.92;1463.14;1463.14;0.0;0.0;10794.0;0.0;5114.22;5114.22;1651.2;0.0;5439.0;8206.43;7882.56;323.87;15557.18;3260.61;5000.0;0.0
2.0;54.52;33301.7;10557.18;3065.25;3979.82;3979.82;47.56;1463.14;1463.14;0.0;0.0;10794.0;0.0;5114.22;5114.22;1563.96;0.0;5439.0;7809.99;7501.68;308.31;15557.18;3133.22;5000.0;0.0
3.0;55.05;33301.7;10557.18;3130.94;3979.82;3979.82;63.99;1463.14;1463.14;0.0;0.0;10794.0;0.0;5114.22;5114.22;1502.64;0.0;5439.0;7638.54;7337.04;301.5;15557.18;2940.98;5000.0;0.0
4.0;56.21;33301.7;10557.18;3276.48;3979.82;3979.82;100.37;1463.14;1463.14;0.0;0.0;10794.0;0.0;5114.22;5114.22;1467.3;0.0;5439.0;7496.03;7200.24;295.79;15557.18;2651.88;5000.0;0.0
5.0;58.73;33301.7;10557.18;3591.84;3979.82;3979.82;179.21;1463.14;1463.14;0.0;0.0;10794.0;0.0;5114.22;5114.22;1455.51;0.0;5439.0;7569.8;7271.28;298.52;15557.18;2343.24;5000.0;0.0
6.0;65.98;33301.7;10557.18;3979.82;3979.82;3979.82;405.69;1463.14;1463.14;0.0;0.0;10794.0;0.0;5114.22;5114.22;1463.67;0.0;5439.0;7976.73;7662.72;314.01;15557.18;2127.54;5000.0;0.0
7.0;85.6;33301.7;10557.18;3979.82;3979.82;3979.82;1018.77;1463.14;1463.14;4.41;0.0;10794.0;120.01;5114.22;5114.22;1495.78;0.0;5439.0;8866.9;8519.52;347.38;15557.18;2248.11;5000.0;0.0
8.0;133.59;33301.7;10557.18;3979.82;3979.82;3979.82;1463.14;1463.14;1463.14;276.7;0.0;10794.0;719.83;5114.22;5114.22;1480.66;0.0;5439.0;9636.11;9263.04;373.07;15557.18;1715.96;5000.0;0.0
9.0;102.56;33301.7;10557.18;3979.82;3979.82;3979.82;1463.14;1463.14;1463.14;1183.12;0.0;10794.0;332.02;5114.22;5114.22;1337.32;0.0;5439.0;10217.51;9818.88;398.63;15557.18;1922.09;5000.0;0.0
10.0;65.34;33301.7;10557.18;3979.82;3979.82;3979.82;385.64;1463.14;1463.14;2411.87;0.0;10794.0;0.0;5114.22;5114.22;1089.4;0.0;5439.0;10309.01;9903.12;405.89;15557.18;2442.28;5000.0;0.0
