Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;55.69;29959.2;20141.31;2960.69;4831.05;4831.05;21.42;2297.72;2297.72;0.0;0.0;27259.0;0.0;13012.53;13012.53;6136.02;0.0;11706.0;11465.36;11012.88;452.48;14141.31;2347.22;-6000.0;0.0
2.0;54.52;29959.2;20141.31;2815.25;4831.05;4831.05;0.0;2297.72;2297.72;0.0;0.0;27259.0;0.0;13012.53;13012.53;5793.81;0.0;11706.0;10981.76;10548.24;433.52;14141.31;2372.7;-6000.0;0.0
3.0;55.05;29959.2;20141.31;2880.94;4831.05;4831.05;1.49;2297.72;2297.72;0.0;0.0;27259.0;0.0;13012.53;13012.53;5275.13;0.0;11706.0;10636.89;10217.04;419.85;14141.31;2479.34;-6000.0;0.0
4.0;56.21;29959.2;20141.31;3026.48;4831.05;4831.05;37.87;2297.72;2297.72;0.0;0.0;27259.0;0.0;13012.53;13012.53;5118.01;0.0;11706.0;10539.32;10123.44;415.88;14141.31;2356.96;-6000.0;0.0
5.0;58.73;29959.2;20141.31;3341.84;4831.05;4831.05;116.71;2297.72;2297.72;0.0;0.0;27259.0;0.0;13012.53;13012.53;5361.21;0.0;11706.0;10637.75;10218.24;419.51;14141.31;1817.98;-6000.0;0.0
6.0;65.98;29959.2;20141.31;4247.78;4831.05;4831.05;343.19;2297.72;2297.72;0.0;0.0;27259.0;0.0;13012.53;13012.53;5634.55;0.0;11706.0;11033.47;10599.12;434.35;14141.31;807.95;-6000.0;0.0
7.0;85.6;29959.2;20141.31;4831.05;4831.05;4831.05;956.27;2297.72;2297.72;0.0;0.0;27259.0;95.01;13012.53;13012.53;5783.05;0.0;11706.0;12425.1;11938.32;486.78;14141.31;759.72;-6000.0;0.0
8.0;133.59;29959.2;20141.31;4831.05;4831.05;4831.05;2297.72;2297.72;2297.72;229.81;0.0;27259.0;694.83;13012.53;13012.53;1523.0;0.0;11706.0;13860.46;13323.84;536.62;14141.31;4284.04;-6000.0;0.0
9.0;102.56;29959.2;20141.31;4831.05;4831.05;4831.05;1486.3;2297.72;2297.72;2687.01;0.0;27259.0;307.02;13012.53;13012.53;1479.55;0.0;11706.0;14414.2;13851.84;562.36;14141.31;3623.27;-6000.0;0.0
10.0;65.34;29959.2;20141.31;4167.54;4831.05;4831.05;323.14;2297.72;2297.72;7651.91;0.0;27259.0;0.0;13012.53;13012.53;1340.9;0.0;11706.0;14203.71;13644.48;559.23;14141.31;720.22;-6000.0;0.0
