Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;87.06313265056275;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;1002.035374361647;1431.233156482009;1431.233156482009;6854.69675029075;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.961421295859;-8392.87008;-342.09134129585823;0.0;16387.31;-7.8204407089569665;-172.47925245854634
2;74.47041973306392;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;608.4835383825181;1431.233156482009;1431.233156482009;6809.55155447625;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.081151093078;-8201.705759999999;-335.37539109307863;0.0;16387.31;108.15691945793141;-172.47925245854634
3;72.09335704927783;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;534.1796118769543;1431.233156482009;1431.233156482009;6511.947319695097;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.10461260193;-8226.511199999999;-336.5934126019308;0.0;16387.31;378.0568630475696;-172.47925245854634
4;70.50588519015913;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;484.5784695381983;1431.233156482009;1431.233156482009;6313.680648301773;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.59677141837;-8386.32576;-343.2710114183693;0.0;16387.31;653.7100073733458;-172.47925245854634
5;70.20191350498422;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;475.08907057356595;1431.233156482009;1431.233156482009;6275.90526253998;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192171638302;-8826.861120000001;-361.33105163830123;0.0;16387.31;971.9869328364929;-172.47925245854634
6;72.14014725407247;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;535.6656082097264;1431.233156482009;1431.233156482009;6518.3376722490075;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579198492207;-9670.89264;-395.6865584922078;0.0;16387.31;1277.9844322906401;-172.47925245854634
7;86.99855201772843;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;1000.0172149918144;1431.233156482009;1431.233156482009;6854.69675029072;6854.696750290909;6854.696750290909;0.0;8273.840789414584;8273.840789414584;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.252558742022;-11383.265759999998;-463.9867987420236;0.0;16387.31;1997.3021523657164;-172.47925245854634
8;117.77279867141287;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;1431.2331564763522;1431.233156482009;1431.233156482009;6854.6967502907455;6854.696750290909;6854.696750290909;347.1715947319788;8273.840789414584;8273.840789414584;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.195220634754;-12494.90304;-505.2921806347544;0.0;16387.31;2197.643585675522;-172.47925245854634
9;138.94399052991176;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;1431.2331564763535;1431.233156482009;1431.233156482009;6854.696750290744;6854.696750290909;6854.696750290909;611.8114920433668;8273.840789414584;8273.840789414584;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13590.48602879443;-13065.01968;-525.4663487944302;0.0;16387.31;2243.558403510505;-172.47925245854634
10;104.03713280526271;69999.99999472978;16559.77069618015;16387.31;16559.77069618015;1431.2331564758395;1431.233156482009;1431.233156482009;6854.696750290738;6854.696750290909;6854.696750290909;175.47577184546975;8273.840789414584;8273.840789414584;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.796212850577;-13201.0584;-535.7378128505765;0.0;16387.31;2475.2790939128836;-172.47925245854634
