Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;61.4471262889283;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;263.97016014174005;1894.2837920843579;1894.2837920843579;3930.8226013141184;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2850.9999974820003;0.0;5439.0;0.0;0.0;10794.0;-8205.954576620194;-7882.5599999999995;-323.394576620194;0.0;19014.336;1160.1617271369053;680.1999999999215
2;59.26471554287559;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;195.7704651052054;1894.2837920843579;1894.2837920843579;3658.0384845773087;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2692.000002636;0.0;5439.0;0.0;0.0;10794.0;-7809.618907078796;-7501.679999999999;-307.93890707879683;0.0;19014.336;1263.8098870906247;680.1999999999215
3;58.418452662408555;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;169.32591431875196;1894.2837920843579;1894.2837920843579;3552.2869427871387;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2451.000001212;0.0;5439.0;0.0;0.0;10794.0;-7638.2852237516845;-7337.04;-301.24522375168493;0.0;19014.336;1465.6723393395919;680.1999999999215
4;57.963195498216606;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;155.10598479842602;1894.2837920843579;1894.2837920843579;3495.577051238716;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2378.0000003970003;0.0;5439.0;0.0;0.0;10794.0;-7495.902615059188;-7200.24;-295.6626150591882;0.0;19014.336;1467.2198146218288;680.1999999999215
5;60.60233604896636;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;237.7029860251591;1894.2837920843579;1894.2837920843579;3828.242341365885;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2491.0000008389998;0.0;5439.0;0.0;0.0;10794.0;-7569.659819785598;-7271.28;-298.3798197855989;0.0;19014.336;1012.719275137822;680.1999999999215
6;67.40113529325062;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;450.0828091721929;1894.2837920843579;1894.2837920843579;4598.009285548049;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2617.999998159;0.0;5439.0;0.0;0.0;10794.0;-7976.620038418665;-7662.719999999999;-313.90003841866593;0.0;19014.336;310.5296700837942;680.1999999999215
7;89.97305801956807;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;1155.4393048556626;1894.2837920843579;1894.2837920843579;4598.009285554468;4598.009285553129;4598.009285553129;174.66806152345634;11841.842986355437;11841.842986355437;2687.000000643;0.0;5439.0;0.0;0.0;10794.0;-8866.515338780573;-8519.52;-346.9953387805726;0.0;19014.336;251.39981979054178;680.1999999999215
8;183.23137223417402;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;1894.2837920928268;1894.2837920843579;1894.2837920843579;4598.009285554469;4598.009285553129;4598.009285553129;1340.3888937691536;11841.842986355437;11841.842986355437;707.6372659440001;0.0;5439.0;91.00000434;0.0;10794.0;-9631.320006512466;-9263.039999999999;-368.2800065124666;0.0;19014.336;999.9999999999978;680.1999999999215
9;113.69056076522347;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;1894.2837849756916;1894.2837920843579;1894.2837920843579;4598.009285554469;4598.009285553129;4598.009285553129;471.13134204371335;11841.842986355437;11841.842986355437;687.446528559;0.0;5439.0;1063.999995114;0.0;10794.0;-10216.371729799572;-9818.88;-397.49172979957206;0.0;19014.336;1501.5006369473565;680.1999999999215
10;83.71070867777883;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;959.6947789851389;1894.2837920843579;1894.2837920843579;4598.009285554468;4598.009285553129;4598.009285553129;96.3815532807623;11841.842986355437;11841.842986355437;623.028459333;0.0;5439.0;3029.999995764;0.0;10794.0;-10307.114613802421;-9903.119999999999;-403.99461380242224;0.0;19014.336;1000.000000000008;680.1999999999215
11;59.31879593939859;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;197.462368275599;1894.2837920843579;1894.2837920843579;3664.8495112983273;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;571.109424228;0.0;5439.0;4808.000002512;0.0;10794.0;-10241.42130638622;-9837.6;-403.82130638622095;0.0;19014.336;1000.0000000000016;680.1999999999215
12;48.07339968039102;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;0.0;1894.2837920843579;1894.2837920843579;2259.515978768425;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2109.100001232;0.0;5439.0;6163.99999803;0.0;10794.0;-10192.59771400323;-9789.6;-402.99771400322953;0.0;19014.336;-340.0177899133936;680.1999999999215
13;39.617912969007946;70000.00000874023;18334.13606400632;19014.336;18334.13606400632;0.0;1894.2837920843579;1894.2837920843579;1202.4325422661884;4598.009285553129;4598.009285553129;0.0;11841.842986355437;11841.842986355437;2247.100000761;0.0;5439.0;6943.999998222;0.0;10794.0;-9920.318218694458;-9527.279999999999;-393.03821869445903;0.0;19014.336;-473.21405736974197;680.1999999999215
