Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;61.44773994031536;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;201.49205191959803;2323.807024869134;2323.807024869134;3680.9725077441794;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2742.249994848;0.0;11706.0;0.0;0.0;27259.0;-11464.70086891101;-11012.88;-451.8208689110105;0.0;21510.599000000002;4839.986323638199;-4884.4699999999875
2;59.264984332775725;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;133.2800978350532;2323.807024869134;2323.807024869134;3408.104455457334;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2703.49999764;0.0;11706.0;0.0;0.0;27259.0;-10981.238111620833;-10548.24;-432.9981116208326;0.0;21510.599000000002;4736.353526449515;-4884.4699999999875
3;58.418179106575195;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;106.81625964811808;2323.807024869134;2323.807024869134;3302.2208447844155;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2692.999996584;0.0;11706.0;0.0;0.0;27259.0;-10636.532699073017;-10217.039999999999;-419.4926990730179;0.0;21510.599000000002;4534.495503104686;-4884.4699999999875
4;57.95966254274538;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;92.48057107574742;2323.807024869134;2323.807024869134;3244.7159708558656;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2669.000004204;0.0;11706.0;0.0;0.0;27259.0;-10539.138007881444;-10123.44;-415.6980078814426;0.0;21510.599000000002;4532.9410097026275;-4884.4699999999875
5;60.596498199326234;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;174.9891291797018;2323.807024869134;2323.807024869134;3576.81170627799;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2624.250003048;0.0;11706.0;0.0;0.0;27259.0;-10637.55011813325;-10218.24;-419.3101181332496;0.0;21510.599000000002;4261.504579760327;-4884.4699999999875
6;67.4101452566334;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;387.90276163149264;2323.807024869134;2323.807024869134;4428.2557627169745;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2601.249995718;0.0;11706.0;0.0;0.0;27259.0;-11033.307422814642;-10599.119999999999;-434.1874228146419;0.0;21510.599000000002;3615.9034995790803;-4884.4699999999875
7;89.96684362180655;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;1092.734129894528;2323.807024869134;2323.807024869134;4692.321234483728;4692.321234483758;4692.321234483758;149.58843044079086;19378.94073506467;19378.94073506467;2637.249995994;0.0;11706.0;0.0;0.0;27259.0;-12424.561950436491;-11938.32;-486.24195043649166;0.0;21510.599000000002;3852.669234677226;-4884.4699999999875
8;197.7302984330124;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;2323.807024869134;2323.807024869134;2323.807024869134;4692.321234483728;4692.321234483758;4692.321234483758;1496.6287524100978;19378.94073506467;19378.94073506467;316.80000477;0.0;11706.0;22.000002907;0.0;27259.0;-13851.557011898383;-13323.84;-527.7170118983828;0.0;21510.599000000002;5000.000000000004;-4884.4699999999875
9;113.69374092082974;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;1834.1726094815979;2323.807024869134;2323.807024869134;4692.321234483728;4692.321234483758;4692.321234483758;446.17079733314756;19378.94073506467;19378.94073506467;2507.999999718;0.0;11706.0;428.25001167199997;0.0;27259.0;-14412.595129291421;-13851.84;-560.7551292914205;0.0;21510.599000000002;4503.680117862941;-4884.4699999999875
10;86.51160550216694;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;984.7377983645662;2323.807024869134;2323.807024869134;4692.321234483728;4692.321234483758;4692.321234483758;106.39508324388446;19378.94073506467;19378.94073506467;1996.99999515;0.0;11706.0;1420.2499990219999;0.0;27259.0;-14200.704105521836;-13644.48;-556.224105521837;0.0;21510.599000000002;4999.999999999985;-4884.4699999999875
