Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;55.69;64111.68;48554.94;27801.67;27801.67;27801.67;1464.72;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;22045.75;0.0;72618.0;45704.78;43901.04;1803.74;49857.35;-5607.35;1302.4;0.0
2.0;54.52;64111.68;48554.94;27801.67;27801.67;27801.67;1101.13;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;20881.0;0.0;72618.0;44278.34;42530.4;1747.94;49857.35;-5505.46;1302.4;0.0
3.0;55.05;64111.68;48554.94;27801.67;27801.67;27801.67;1265.31;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;20062.25;0.0;72618.0;43709.43;41984.16;1725.27;49857.35;-5419.8;1302.4;0.0
4.0;56.21;64111.68;48554.94;27801.67;27801.67;27801.67;1629.18;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;19590.5;0.0;72618.0;44012.99;42276.24;1736.75;49857.35;-5008.36;1302.4;0.0
5.0;58.74;64111.68;48554.94;27801.67;27801.67;27801.67;2417.58;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;19433.0;0.0;72618.0;45491.51;43697.52;1793.99;49857.35;-4160.74;1302.4;0.0
6.0;65.98;64111.68;48554.94;27801.67;27801.67;27801.67;4681.5;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;19542.0;0.0;72618.0;49091.09;47158.56;1932.53;49857.35;-2934.08;1302.4;0.0
7.0;85.61;64111.68;48554.94;27801.67;27801.67;27801.67;9673.22;9673.22;9673.22;35.5;0.0;86952.0;1450.93;11080.06;11080.06;19970.75;0.0;72618.0;55926.83;53735.76;2191.07;49857.35;-3005.24;1302.4;0.0
8.0;128.58;64111.68;48554.94;27801.67;27801.67;27801.67;9673.22;9673.22;9673.22;2229.0;0.0;86952.0;6822.24;11080.06;11080.06;19768.75;0.0;72618.0;60294.87;57957.6;2337.27;49857.35;-6000.0;1302.4;0.0
9.0;102.56;64111.68;48554.94;27801.67;27801.67;27801.67;9673.22;9673.22;9673.22;9530.75;0.0;86952.0;3570.15;11080.06;11080.06;17855.0;0.0;72618.0;62888.93;60435.36;2453.57;49857.35;-5541.85;1302.4;0.0
10.0;65.34;64111.68;48554.94;27801.67;27801.67;27801.67;4480.91;9673.22;9673.22;19429.0;0.0;86952.0;0.0;11080.06;11080.06;14545.0;0.0;72618.0;63095.5;60611.28;2484.22;49857.35;-3161.09;1302.4;0.0
11.0;45.77;64111.68;48554.94;22218.0;27801.67;27801.67;0.0;9673.22;9673.22;28515.0;0.0;86952.0;0.0;11080.06;11080.06;13914.0;0.0;72618.0;62329.46;59863.68;2465.78;49857.35;-2317.54;1302.4;0.0
