Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;26.95;72055.49;13656.54;8945.11;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;1651.2;0.0;5439.0;8208.79;6568.8;1639.99;14505.14;-2387.53;848.6;0.0
2.0;26.72;72055.49;13656.54;8719.6;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;1563.96;0.0;5439.0;7812.16;6251.4;1560.76;14505.14;-2471.4;848.6;0.0
3.0;26.75;72055.49;13656.54;8751.42;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;1502.64;0.0;5439.0;7640.71;6114.2;1526.51;14505.14;-2613.36;848.6;0.0
4.0;26.73;72055.49;13656.54;8727.68;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;1467.3;0.0;5439.0;7498.25;6000.2;1498.05;14505.14;-2696.74;848.6;0.0
5.0;26.7;72055.49;13656.54;8698.33;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;1455.51;0.0;5439.0;7572.23;6059.4;1512.83;14505.14;-2581.61;848.6;0.0
6.0;26.96;72055.49;13656.54;8959.7;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;1463.67;0.0;5439.0;7979.85;6385.6;1594.25;14505.14;-2443.52;848.6;0.0
7.0;56.35;72055.49;13656.54;9291.11;9291.11;9291.11;535.45;2544.33;2544.33;4.41;0.0;10794.0;0.0;1821.1;1821.1;1495.78;0.0;5439.0;8869.5;7099.6;1769.9;14505.14;-2457.25;848.6;0.0
8.0;146.99;72055.49;13656.54;9291.11;9291.11;9291.11;2544.33;2544.33;2544.33;276.7;0.0;10794.0;862.38;1821.1;1821.1;1480.66;0.0;5439.0;9634.74;7719.2;1915.54;14505.14;-4820.44;848.6;0.0
9.0;76.04;72055.49;13656.54;9291.11;9291.11;9291.11;2503.58;2544.33;2544.33;1183.12;0.0;10794.0;0.0;1821.1;1821.1;1337.32;0.0;5439.0;10220.22;8182.4;2037.82;14505.14;-4094.9;848.6;0.0
10.0;27.01;72055.49;13656.54;9014.02;9291.11;9291.11;0.0;2544.33;2544.33;2411.87;0.0;10794.0;0.0;1821.1;1821.1;1089.4;0.0;5439.0;10312.96;8252.6;2060.36;14505.14;-2202.32;848.6;0.0
11.0;24.66;72055.49;13656.54;6663.05;9291.11;9291.11;0.0;2544.33;2544.33;3539.78;0.0;10794.0;0.0;1821.1;1821.1;1042.14;0.0;5439.0;10244.97;8198.0;2046.97;14505.14;-1000.0;848.6;0.0
12.0;21.69;72055.49;13656.54;3692.25;9291.11;9291.11;0.0;2544.33;2544.33;4382.83;0.0;10794.0;0.0;1821.1;1821.1;1120.2;0.0;5439.0;10195.29;8158.0;2037.29;14505.14;1000.0;848.6;0.0
13.0;18.28;72055.49;13656.54;284.14;9291.11;9291.11;0.0;2544.33;2544.33;4855.39;0.0;10794.0;0.0;1821.1;1821.1;1204.43;0.0;5439.0;9922.44;7939.4;1983.04;14505.14;3578.48;848.6;0.0
14.0;0.0;72055.49;13656.54;0.0;9291.11;9291.11;0.0;2544.33;2544.33;4938.9;0.0;10794.0;0.0;1821.1;1821.1;955.66;0.0;5439.0;9793.5;7834.8;1958.7;14505.14;3898.94;848.6;0.0
15.0;0.0;72055.49;13656.54;0.0;9291.11;9291.11;0.0;2544.33;2544.33;4213.15;0.0;10794.0;0.0;1821.1;1821.1;1472.85;0.0;5439.0;9589.5;7671.6;1917.9;14505.14;3903.5;848.6;0.0
16.0;20.48;72055.49;13656.54;2475.67;9291.11;9291.11;0.0;2544.33;2544.33;4117.24;0.0;10794.0;0.0;1821.1;1821.1;1102.86;0.0;5439.0;9237.11;7391.2;1845.91;14505.14;1541.34;848.6;0.0
17.0;19.78;72055.49;13656.54;1778.56;9291.11;9291.11;0.0;2544.33;2544.33;3246.41;0.0;10794.0;0.0;1821.1;1821.1;1845.13;0.0;5439.0;8904.24;7124.8;1779.44;14505.14;2034.14;848.6;0.0
18.0;24.26;72055.49;13656.54;6257.17;9291.11;9291.11;0.0;2544.33;2544.33;2048.17;0.0;10794.0;0.0;1821.1;1821.1;1965.33;0.0;5439.0;9245.51;7398.2;1847.31;14505.14;-1025.17;848.6;0.0
19.0;27.53;72055.49;13656.54;9291.11;9291.11;9291.11;0.0;2544.33;2544.33;818.5;0.0;10794.0;0.0;1821.1;1821.1;1675.81;0.0;5439.0;9398.91;7521.2;1877.71;14505.14;-2386.51;848.6;0.0
20.0;878.2;72055.49;13656.54;9291.11;9291.11;9291.11;2544.33;2544.33;2544.33;128.3;0.0;10794.0;1821.1;1821.1;1821.1;366.56;0.0;5439.0;14868.27;12000.0;2868.27;14505.14;716.87;848.6;0.0
21.0;220.11;72055.49;13656.54;9291.11;9291.11;9291.11;2544.33;2544.33;2544.33;0.62;0.0;10794.0;1776.38;1821.1;1821.1;1039.85;0.0;5439.0;9336.38;7534.4;1801.98;14505.14;-5315.91;848.6;0.0
22.0;66.43;72055.49;13656.54;9291.11;9291.11;9291.11;1543.31;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;2180.45;0.0;5439.0;9315.56;7457.4;1858.16;14505.14;-3699.32;848.6;0.0
23.0;41.9;72055.49;13656.54;9291.11;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;2125.35;0.0;5439.0;9101.93;7284.6;1817.33;14505.14;-2314.52;848.6;0.0
24.0;38.03;72055.49;13656.54;9291.11;9291.11;9291.11;0.0;2544.33;2544.33;0.0;0.0;10794.0;0.0;1821.1;1821.1;2037.53;0.0;5439.0;8661.45;6931.8;1729.65;14505.14;-2667.18;848.6;0.0
