Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;27.95;60000.0;14700.38;9945.02;10078.9;10078.9;0.0;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;6136.02;0.0;11706.0;11468.54;11012.88;455.66;16068.2;-4612.49;1367.82;0.0
2.0;27.72;60000.0;14700.38;9719.51;10078.9;10078.9;0.0;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;5793.81;0.0;11706.0;10984.7;10548.24;436.46;16068.2;-4528.62;1367.82;0.0
3.0;27.75;60000.0;14700.38;9751.33;10078.9;10078.9;0.0;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;5275.13;0.0;11706.0;10639.8;10217.04;422.76;16068.2;-4386.66;1367.82;0.0
4.0;27.73;60000.0;14700.38;9727.59;10078.9;10078.9;0.0;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;5118.01;0.0;11706.0;10542.33;10123.44;418.89;16068.2;-4303.28;1367.82;0.0
5.0;27.7;60000.0;14700.38;9698.24;10078.9;10078.9;0.0;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;5361.21;0.0;11706.0;10641.05;10218.24;422.81;16068.2;-4418.4;1367.82;0.0
6.0;27.96;60000.0;14700.38;9959.61;10078.9;10078.9;0.0;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;5634.55;0.0;11706.0;11037.66;10599.12;438.54;16068.2;-4556.49;1367.82;0.0
7.0;55.86;60000.0;14700.38;10078.9;10078.9;10078.9;486.35;2346.11;2346.11;0.0;0.0;27259.0;0.0;2275.37;2275.37;5783.05;0.0;11706.0;12428.8;11938.32;490.48;16068.2;-3919.5;1367.82;0.0
8.0;142.91;60000.0;14700.38;10078.9;10078.9;10078.9;2346.11;2346.11;2346.11;229.81;0.0;27259.0;861.36;2275.37;2275.37;1523.0;0.0;11706.0;13856.26;13323.84;532.42;16068.2;-1182.92;1367.82;0.0
9.0;76.3;60000.0;14700.38;10078.9;10078.9;10078.9;2346.11;2346.11;2346.11;2687.01;0.0;27259.0;28.77;2275.37;2275.37;1479.55;0.0;11706.0;14417.99;13851.84;566.15;16068.2;-2202.34;1367.82;0.0
10.0;27.12;60000.0;14700.38;9124.81;10078.9;10078.9;0.0;2346.11;2346.11;7651.91;0.0;27259.0;0.0;2275.37;2275.37;1340.9;0.0;11706.0;14208.89;13644.48;564.41;16068.2;-3908.73;1367.82;0.0
11.0;23.26;60000.0;14700.38;5257.17;10078.9;10078.9;0.0;2346.11;2346.11;12142.05;0.0;27259.0;0.0;2275.37;2275.37;1229.16;0.0;11706.0;13724.08;13178.64;545.44;16068.2;-4904.3;1367.82;0.0
12.0;0.0;60000.0;14700.38;0.0;10078.9;10078.9;0.0;2346.11;2346.11;15566.47;0.0;27259.0;0.0;2275.37;2275.37;3757.66;0.0;11706.0;13324.13;12792.72;531.41;16068.2;-6000.0;1367.82;0.0
