Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;55.17354009109471;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;1308.0510114893896;9662.292473019917;9662.292473019917;28351.22071472008;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;22045.749980981996;0.0;72618.0;0.0;0.0;86952.0;-45705.01898601189;-43901.04;-1803.9789860118885;0.0;54507.97;-5999.999999999985;0.0
2;54.33564830703823;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;1046.209907388431;9662.292473019917;9662.292473019917;28351.220714720126;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;20881.000032984;0.0;72618.0;0.0;0.0;86952.0;-44278.42793385441;-42530.4;-1748.0279338544055;0.0;54507.97;-5999.999999999981;0.0
3;55.13471931649981;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;1295.9196291268038;9662.292473019917;9662.292473019917;28351.22071472013;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;20062.25001963;0.0;72618.0;0.0;0.0;86952.0;-43709.38764221695;-41984.159999999996;-1725.2276422169537;0.0;54507.97;-5999.999999999975;0.0
4;57.61388856558081;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;2070.6600955740505;9662.292473019917;9662.292473019917;28351.220714720133;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;19590.500036016;0.0;72618.0;0.0;0.0;86952.0;-44012.378124362964;-42276.24;-1736.138124362966;0.0;54507.97;-5999.999999844259;0.0
5;60.54826715480674;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;2978.9575601823067;9662.292473019917;9662.292473019917;28351.22071472013;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;19433.000017704;0.0;72618.0;0.0;0.0;86952.0;-45490.689513571684;-43697.52;-1793.1695135716868;0.0;54507.97;-5272.493028072415;0.0
6;67.38665063621713;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;5120.657367342557;9662.292473019917;9662.292473019917;28351.220714720133;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;19541.999998794;0.0;72618.0;0.0;0.0;86952.0;-49090.397322374774;-47158.56;-1931.8373223747735;0.0;54507.97;-3923.4813208566666;0.0
7;89.99251382207243;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;9662.292473024607;9662.292473019917;9662.292473019917;28351.220714720133;28351.22071471999;28351.22071471999;1999.211203801584;16494.47913794734;16494.47913794734;19970.750032506003;0.0;72618.0;35.499979992;0.0;86952.0;-55924.37690677369;-53735.759999999995;-2188.616906773689;0.0;54507.97;-4094.596367000866;0.0
8;124.28692869706641;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;9662.292473025054;9662.292473019917;9662.292473019917;28351.220714720137;28351.22071471999;28351.22071471999;6286.204268639168;16494.47913794734;16494.47913794734;19768.749994266;0.0;72618.0;2228.999999016;0.0;86952.0;-60297.46485214085;-57957.6;-2339.864852140854;0.0;54507.97;-6000.000000000002;0.0
9;101.91792278327257;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;9662.292473025043;9662.292473019917;9662.292473019917;28351.220714720133;28351.22071471999;28351.22071471999;3490.078474377232;16494.47913794734;16494.47913794734;17854.999985004;0.0;72618.0;9530.7500274;0.0;86952.0;-62889.33907744496;-60435.36;-2453.9790774449607;0.0;54507.97;-6000.0;0.0
10;72.6379263298249;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;6765.670752023712;9662.292473019917;9662.292473019917;28351.220714720133;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;14545.000016274;0.0;72618.0;19428.999987288;0.0;86952.0;-63090.888749785605;-60611.28;-2479.608749785607;0.0;54507.97;-5999.999999999989;0.0
