Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;;;;;
1;87.06166208;49323.62059;14094.75305;14094.73;14094.75305;1001.899603;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;0;5799.249542;5799.249542;424.552633;0;5315;0;0;8788;-8108.237191;-7790.6904;-317.5467911;0;14094.73;-178.3723342;0;;;;;
2;74.45743792;49323.62059;14094.75305;14094.73;14094.75305;608.019315;1435.347975;1435.347975;6806.595723;6860.155537;6860.155537;0;5799.249542;5799.249542;590.0439171;0;5315;0;0;8788;-7743.292751;-7439.1;-304.1927514;0;14094.73;-261.3673153;0;;;;;
3;72.08812611;49323.62059;14094.75305;14094.73;14094.75305;533.9929511;1435.347975;1435.347975;6510.763347;6860.155537;6860.155537;0;5799.249542;5799.249542;805.7575504;0;5315;0;0;8788;-7397.1337;-7106.3712;-290.7624999;0;14094.73;-453.3805937;0;;;;;
4;70.5022237;49323.62059;14094.75305;14094.73;14094.75305;484.443463;1435.347975;1435.347975;6312.773971;6860.155537;6860.155537;0;5799.249542;5799.249542;1017.896379;0;5315;0;0;8788;-7266.488351;-6980.7504;-285.7379514;0;14094.73;-548.6258349;0;;;;;
5;70.19599248;49323.62059;14094.75305;14094.73;14094.75305;474.8714237;1435.347975;1435.347975;6274.450929;6860.155537;6860.155537;0;5799.249542;5799.249542;1277.357708;0;5315;0;0;8788;-7241.738022;-6956.952;-284.7860221;0;14094.73;-784.9426581;0;;;;;
6;72.13162418;49323.62059;14094.75305;14094.73;14094.75305;535.3547555;1435.347975;1435.347975;6516.287967;6860.155537;6860.155537;0;5799.249542;5799.249542;1485.446745;0;5315;0;0;8788;-7465.468653;-7172.0232;-293.445453;0;14094.73;-1071.62167;0;;;;;
7;86.99707525;49323.62059;14094.75305;14094.73;14094.75305;999.8812589;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;0;5799.249542;5799.249542;1671.111962;0;5315;0;0;8788;-7850.724161;-7543.2576;-307.4665607;0;14094.73;-1680.426348;0;;;;;
8;117.8683221;49323.62059;14094.75305;14094.73;14094.75305;1435.347975;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;348.3487198;5799.249542;5799.249542;1879.650978;0;5315;0.5422196;0;8788;-8129.411696;-7813.4448;-315.9668957;0;14094.73;-2394.634925;0;;;;;
9;139.0394646;49323.62059;14094.75305;14094.73;14094.75305;1435.347975;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;612.9880031;5799.249542;5799.249542;1953.072111;0;5315;284.8918886;0;8788;-8392.397513;-8067.9192;-324.4783132;0;14094.73;-2754.059192;0;;;;;
10;104.1325849;49323.62059;14094.75305;14094.73;14094.75305;1435.347975;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;176.6520079;5799.249542;5799.249542;1952.122161;0;5315;1192.607792;0;8788;-8998.622239;-8647.6824;-350.939839;0;14094.73;-2618.264424;0;;;;;
11;80.17677351;49323.62059;14094.75305;14094.73;14094.75305;786.746845;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;0;5799.249542;5799.249542;2001.569557;0;5315;2332.255343;0;8788;-9383.065934;-9014.9712;-368.0947336;0;14094.73;-2597.663094;0;;;;;
12;434.0802899;49323.62059;14094.75305;14094.73;14094.75305;1435.347975;1435.347975;1435.347975;6860.155537;6860.155537;6860.155537;4301.263375;5799.249542;5799.249542;531.55315;0;5315;3054.982871;0;8788;-11947.92029;-11520.0096;-427.9106853;2.18E-11;14094.73;-4235.361601;0;;;;;
13;70.18248722;49323.62059;14094.75305;14094.73;14094.75305;474.4182977;1435.347975;1435.347975;6272.109074;6860.155537;6860.155537;0;5799.249542;5799.249542;2309.57833;0;5315;3377.2814;0;8788;-9518.544973;-9144.2208;-374.3241733;0;14094.73;-2914.845029;0;;;;;
14;70.29953084;49323.62059;14094.75305;14094.73;14094.75305;478.0697138;1435.347975;1435.347975;6286.58791;6860.155537;6860.155537;0;5799.249542;5799.249542;2473.819675;0;5315;3304.950404;0;8788;-9454.511364;-9082.716;-371.795364;0;14094.73;-3088.919333;0;;;;;
15;72.43719127;49323.62059;14094.75305;14094.73;14094.75305;544.8670469;1435.347975;1435.347975;6553.662955;6860.155537;6860.155537;0;5799.249542;5799.249542;2667.884452;0;5315;2613.375071;0;8788;-9281.53186;-8916.7296;-364.80226;0;14094.73;-3098.260371;0;;;;;
