Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;;;;;
1;87.0627077;49328.49341;14105.3608;14105.35;14105.3608;1001.937475;1435.460905;1435.460905;6860.539457;6860.539457;6860.539457;0;5809.360439;5809.360439;748.4615387;0;8300;0;0;18662;-8774.525166;-8430.884308;-343.6408578;0;14105.35;163.5855938;0;;;;;
2;74.4652721;49328.49341;14105.3608;14105.35;14105.3608;608.2979226;1435.460905;1435.460905;6808.439311;6860.539457;6860.539457;0;5809.360439;5809.360439;916.5384643;0;8300;0;0;18662;-8485.338199;-8151.995076;-333.343123;0;14105.35;152.0623841;0;;;;;
3;72.09194976;49328.49341;14105.3608;14105.35;14105.3608;534.1288884;1435.460905;1435.460905;6511.663127;6860.539457;6860.539457;0;5809.360439;5809.360439;1173.84615;0;8300;0;0;18662;-8294.492947;-7968.457846;-326.035101;0;14105.35;74.85478994;0;;;;;
4;70.49781366;49328.49341;14105.3608;14105.35;14105.3608;484.2870734;1435.460905;1435.460905;6311.73648;6860.539457;6860.539457;0;5809.360439;5809.360439;1503.846157;0;8300;0;0;18662;-8194.578545;-7872.34523;-322.2333144;0;14105.35;-105.2917675;0;;;;;
5;70.19019992;49328.49341;14105.3608;14105.35;14105.3608;474.666065;1435.460905;1435.460905;6273.088239;6860.539457;6860.539457;0;5809.360439;5809.360439;1802.500003;0;8300;0;0;18662;-8362.906711;-8034.029538;-328.8771729;0;14105.35;-187.3484718;0;;;;;
6;72.12724258;49328.49341;14105.3608;14105.35;14105.3608;535.1995926;1435.460905;1435.460905;6515.25735;6860.539457;6860.539457;0;5809.360439;5809.360439;2037.307691;0;8300;0;0;18662;-8880.893685;-8531.811692;-349.0819933;0;14105.35;-206.8718688;0;;;;;
7;86.99812009;49328.49341;14105.3608;14105.35;14105.3608;999.9191094;1435.460905;1435.460905;6860.539457;6860.539457;6860.539457;0;5809.360439;5809.360439;2269.615387;0;8300;0;0;18662;-9790.592269;-9407.152616;-383.4396531;0;14105.35;-339.4827834;0;;;;;
8;117.8694256;49328.49341;14105.3608;14105.35;14105.3608;1435.460905;1435.460905;1435.460905;6860.539457;6860.539457;6860.539457;348.3634456;5809.360439;5809.360439;2469.42308;0;8300;0;0;18662;-11276.48126;-10838.19692;-438.2843335;0;14105.35;162.6937284;0;;;;;
9;139.040568;49328.49341;14105.3608;14105.35;14105.3608;1435.460905;1435.460905;1435.460905;6860.539457;6860.539457;6860.539457;613.0027275;5809.360439;5809.360439;2599.807689;0;8300;76.9218154;0;18662;-12061.93644;-11595.58154;-466.3548992;0;14105.35;476.2032068;0;;;;;
10;104.1336885;49328.49341;14105.3608;14105.35;14105.3608;1435.460905;1435.460905;1435.460905;6860.539457;6860.539457;6860.539457;176.6667343;5809.360439;5809.360439;2720.576922;0;8300;682.1041433;0;18662;-11984.03643;-11516.6677;-467.3687303;0;14105.35;108.687627;0;;;;;
