Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;55.7;60832.19;44597.43;27795.91;27795.91;27795.91;1467.59;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;22045.75;0.0;72618.0;45704.78;43901.04;1803.74;44597.43;-5604.48;0.0;0.0
2.0;54.53;60832.19;44597.43;27795.91;27795.91;27795.91;1104.16;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;20881.0;0.0;72618.0;44278.34;42530.4;1747.94;44597.43;-5502.73;0.0;0.0
3.0;55.06;60832.19;44597.43;27795.91;27795.91;27795.91;1268.21;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;20062.25;0.0;72618.0;43709.42;41984.16;1725.26;44597.43;-5416.95;0.0;0.0
4.0;56.22;60832.19;44597.43;27795.91;27795.91;27795.91;1632.06;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;19590.5;0.0;72618.0;44012.99;42276.24;1736.75;44597.43;-5005.48;0.0;0.0
5.0;58.75;60832.19;44597.43;27795.91;27795.91;27795.91;2420.46;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;19433.0;0.0;72618.0;45491.51;43697.52;1793.99;44597.43;-4157.86;0.0;0.0
6.0;65.97;60832.19;44597.43;27795.91;27795.91;27795.91;4678.47;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;19542.0;0.0;72618.0;49091.09;47158.56;1932.53;44597.43;-2925.29;0.0;0.0
7.0;85.69;60832.19;44597.43;27795.91;27795.91;27795.91;9661.54;9661.54;9661.54;35.5;0.0;86952.0;1460.95;7139.98;7139.98;19970.75;0.0;72618.0;55926.79;53735.76;2191.03;44597.43;-2997.87;0.0;0.0
8.0;128.72;60832.19;44597.43;27795.91;27795.91;27795.91;9661.54;9661.54;9661.54;2229.0;0.0;86952.0;6839.59;7139.98;7139.98;19768.75;0.0;72618.0;60294.79;57957.6;2337.19;44597.43;-6000.0;0.0;0.0
9.0;102.62;60832.19;44597.43;27795.91;27795.91;27795.91;9661.54;9661.54;9661.54;9530.75;0.0;86952.0;3577.43;7139.98;7139.98;17855.0;0.0;72618.0;62888.9;60435.36;2453.54;44597.43;-5531.73;0.0;0.0
10.0;65.33;60832.19;44597.43;27795.91;27795.91;27795.91;4477.89;9661.54;9661.54;19429.0;0.0;86952.0;0.0;7139.98;7139.98;14545.0;0.0;72618.0;63095.5;60611.28;2484.22;44597.43;-3152.3;0.0;0.0
11.0;45.77;60832.19;44597.43;22218.0;27795.91;27795.91;0.0;9661.54;9661.54;28515.0;0.0;86952.0;0.0;7139.98;7139.98;13914.0;0.0;72618.0;62329.46;59863.68;2465.78;44597.43;-2317.54;0.0;0.0
12.0;35.31;60832.19;44597.43;9133.88;27795.91;27795.91;0.0;9661.54;9661.54;35306.25;0.0;86952.0;0.0;7139.98;7139.98;14956.25;0.0;72618.0;60161.5;57775.44;2386.06;44597.43;765.12;0.0;0.0
13.0;28.45;60832.19;44597.43;561.38;27795.91;27795.91;0.0;9661.54;9661.54;39113.0;0.0;86952.0;0.0;7139.98;7139.98;16080.75;0.0;72618.0;57893.53;55593.6;2299.93;44597.43;2138.39;0.0;0.0
14.0;0.0;60832.19;44597.43;0.0;27795.91;27795.91;0.0;9661.54;9661.54;39272.28;0.0;86952.0;0.0;7139.98;7139.98;17593.5;0.0;72618.0;56958.25;54679.92;2278.33;44597.43;92.47;0.0;0.0
15.0;0.0;60832.19;44597.43;0.0;27795.91;27795.91;0.0;9661.54;9661.54;36833.26;0.0;86952.0;0.0;7139.98;7139.98;19664.5;0.0;72618.0;55617.5;53392.8;2224.7;44597.43;-880.26;0.0;0.0
16.0;32.76;60832.19;44597.43;5944.06;27795.91;27795.91;0.0;9661.54;9661.54;33166.75;0.0;86952.0;0.0;7139.98;7139.98;14724.7;0.0;72618.0;54819.04;52643.52;2175.52;44597.43;983.53;0.0;0.0
17.0;32.05;60832.19;44597.43;5063.59;27795.91;27795.91;0.0;9661.54;9661.54;26151.75;0.0;86952.0;0.0;7139.98;7139.98;24635.0;0.0;72618.0;54704.96;52533.6;2171.36;44597.43;-1145.38;0.0;0.0
18.0;42.01;60832.19;44597.43;17511.54;27795.91;27795.91;0.0;9661.54;9661.54;16499.25;0.0;86952.0;0.0;7139.98;7139.98;26239.75;0.0;72618.0;56492.51;54255.6;2236.91;44597.43;-3758.03;0.0;0.0
19.0;123.09;60832.19;44597.43;27795.91;27795.91;27795.91;9661.54;9661.54;9661.54;6593.5;0.0;86952.0;6136.48;7139.98;7139.98;26005.25;0.0;72618.0;81218.22;81218.2;0.02;44597.43;5025.54;0.0;14781.8
20.0;1354.73;60832.19;44597.43;27795.91;27795.91;27795.91;9661.54;9661.54;9661.54;1033.5;0.0;86952.0;7139.98;7139.98;7139.98;4894.1;0.0;72618.0;53179.55;53179.53;0.02;44597.43;2654.52;0.0;4313.19
21.0;194.14;60832.19;44597.43;27795.91;27795.91;27795.91;9661.54;9661.54;9661.54;5.0;0.0;86952.0;7139.98;7139.98;7139.98;13883.4;0.0;72618.0;58226.6;57020.4;1206.2;44597.43;-259.23;0.0;0.0
22.0;71.38;60832.19;44597.43;27795.91;27795.91;27795.91;6367.91;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;29112.0;0.0;72618.0;57285.08;55032.96;2252.12;44597.43;-5990.74;0.0;0.0
23.0;62.41;60832.19;44597.43;27795.91;27795.91;27795.91;3565.03;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;28376.25;0.0;72618.0;53737.19;51619.92;2117.27;44597.43;-6000.0;0.0;0.0
24.0;53.4;60832.19;44597.43;27795.91;27795.91;27795.91;749.51;9661.54;9661.54;0.0;0.0;86952.0;0.0;7139.98;7139.98;27203.75;0.0;72618.0;49749.17;47784.72;1964.45;44597.43;-6000.0;0.0;0.0
