Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;55.7;61276.53;11076.17;3212.13;3995.57;3995.57;84.28;1474.1;1474.1;0.0;0.0;10794.0;0.0;5606.49;5606.49;1651.2;0.0;5439.0;8206.43;7882.56;323.87;11076.17;3258.81;0.0;0.0
2.0;54.53;61276.53;11076.17;3066.76;3995.57;3995.57;47.94;1474.1;1474.1;0.0;0.0;10794.0;0.0;5606.49;5606.49;1563.96;0.0;5439.0;7809.99;7501.68;308.31;11076.17;3131.32;0.0;0.0
3.0;55.06;61276.53;11076.17;3132.38;3995.57;3995.57;64.35;1474.1;1474.1;0.0;0.0;10794.0;0.0;5606.49;5606.49;1502.64;0.0;5439.0;7638.54;7337.04;301.5;11076.17;2939.18;0.0;0.0
4.0;56.22;61276.53;11076.17;3277.92;3995.57;3995.57;100.73;1474.1;1474.1;0.0;0.0;10794.0;0.0;5606.49;5606.49;1467.3;0.0;5439.0;7496.03;7200.24;295.79;11076.17;2650.08;0.0;0.0
5.0;58.75;61276.53;11076.17;3593.28;3995.57;3995.57;179.57;1474.1;1474.1;0.0;0.0;10794.0;0.0;5606.49;5606.49;1455.51;0.0;5439.0;7569.8;7271.28;298.52;11076.17;2341.44;0.0;0.0
6.0;65.97;61276.53;11076.17;3995.57;3995.57;3995.57;405.16;1474.1;1474.1;0.0;0.0;10794.0;0.0;5606.49;5606.49;1463.67;0.0;5439.0;7976.73;7662.72;314.01;11076.17;2112.33;0.0;0.0
7.0;85.68;61276.53;11076.17;3995.57;3995.57;3995.57;1021.19;1474.1;1474.1;4.41;0.0;10794.0;120.98;5606.49;5606.49;1495.78;0.0;5439.0;8866.9;8519.52;347.38;11076.17;2228.97;0.0;0.0
8.0;134.04;61276.53;11076.17;3995.57;3995.57;3995.57;1474.1;1474.1;1474.1;276.7;0.0;10794.0;725.49;5606.49;5606.49;1480.66;0.0;5439.0;9636.07;9263.04;373.03;11076.17;1683.55;0.0;0.0
9.0;102.59;61276.53;11076.17;3995.57;3995.57;3995.57;1474.1;1474.1;1474.1;1183.12;0.0;10794.0;332.4;5606.49;5606.49;1337.32;0.0;5439.0;10217.51;9818.88;398.63;11076.17;1894.99;0.0;0.0
10.0;65.32;61276.53;11076.17;3995.57;3995.57;3995.57;385.1;1474.1;1474.1;2411.87;0.0;10794.0;0.0;5606.49;5606.49;1089.4;0.0;5439.0;10309.01;9903.12;405.89;11076.17;2427.07;0.0;0.0
11.0;45.77;61276.53;11076.17;1971.8;3995.57;3995.57;0.0;1474.1;1474.1;3539.78;0.0;10794.0;0.0;5606.49;5606.49;1042.14;0.0;5439.0;10242.81;9837.6;405.21;11076.17;3689.09;0.0;0.0
12.0;34.43;61276.53;11076.17;553.68;3995.57;3995.57;0.0;1474.1;1474.1;4382.83;0.0;10794.0;0.0;5606.49;5606.49;1120.2;0.0;5439.0;10193.99;9789.6;404.39;11076.17;4137.28;0.0;0.0
13.0;28.45;61276.53;11076.17;0.0;3995.57;3995.57;0.0;1474.1;1474.1;4855.39;0.0;10794.0;0.0;5606.49;5606.49;1204.43;0.0;5439.0;9921.43;9527.28;394.15;11076.17;3861.61;0.0;0.0
14.0;0.0;61276.53;11076.17;0.0;3995.57;3995.57;0.0;1474.1;1474.1;4600.32;0.0;10794.0;0.0;5606.49;5606.49;1317.73;0.0;5439.0;9793.5;9401.76;391.74;11076.17;3875.45;0.0;0.0
15.0;0.0;61276.53;11076.17;0.0;3995.57;3995.57;0.0;1474.1;1474.1;4694.66;0.0;10794.0;0.0;5606.49;5606.49;1012.59;0.0;5439.0;9589.5;9205.92;383.58;11076.17;3882.25;0.0;0.0
16.0;32.76;61276.53;11076.17;344.41;3995.57;3995.57;0.0;1474.1;1474.1;4117.24;0.0;10794.0;0.0;5606.49;5606.49;1102.86;0.0;5439.0;9235.97;8869.44;366.53;11076.17;3671.47;0.0;0.0
17.0;32.05;61276.53;11076.17;256.36;3995.57;3995.57;0.0;1474.1;1474.1;3246.41;0.0;10794.0;0.0;5606.49;5606.49;1845.13;0.0;5439.0;8903.15;8549.76;353.39;11076.17;3555.24;0.0;0.0
18.0;42.01;61276.53;11076.17;1501.15;3995.57;3995.57;0.0;1474.1;1474.1;2048.17;0.0;10794.0;0.0;5606.49;5606.49;1965.33;0.0;5439.0;9243.87;8877.84;366.03;11076.17;3729.21;0.0;0.0
19.0;323.3;61276.53;11076.17;3995.57;3995.57;3995.57;1474.1;1474.1;1474.1;818.5;0.0;10794.0;3091.2;5606.49;5606.49;1947.76;0.0;5439.0;9371.11;9025.44;345.67;11076.17;-1956.03;0.0;0.0
20.0;3627.06;61276.53;11076.17;3995.57;3995.57;3995.57;1474.1;1474.1;1474.1;128.3;0.0;10794.0;5606.49;5606.49;5606.49;366.56;0.0;5439.0;14455.94;14400.0;55.94;11076.17;2884.92;0.0;0.0
21.0;520.94;61276.53;11076.17;3995.57;3995.57;3995.57;1474.1;1474.1;1474.1;0.62;0.0;10794.0;5561.77;5606.49;5606.49;1039.85;0.0;5439.0;9250.35;9041.28;209.07;11076.17;-2821.57;0.0;0.0
22.0;130.7;61276.53;11076.17;3995.57;3995.57;3995.57;1474.1;1474.1;1474.1;0.0;0.0;10794.0;683.77;5606.49;5606.49;2180.45;0.0;5439.0;9309.57;8948.88;360.69;11076.17;975.67;0.0;0.0
23.0;90.83;61276.53;11076.17;3995.57;3995.57;3995.57;1182.22;1474.1;1474.1;0.0;0.0;10794.0;185.39;5606.49;5606.49;2125.35;0.0;5439.0;9097.48;8741.52;355.96;11076.17;1608.96;0.0;0.0
24.0;78.82;61276.53;11076.17;3995.57;3995.57;3995.57;806.98;1474.1;1474.1;0.0;0.0;10794.0;35.29;5606.49;5606.49;2037.53;0.0;5439.0;8657.92;8318.16;339.76;11076.17;1782.55;0.0;0.0
