Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;26.95;66931.06;14673.8;8945.11;9540.45;9540.45;0.0;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;6136.02;0.0;11706.0;11468.66;9177.4;2291.26;14673.8;-3612.47;0.0;0.0
2.0;26.72;66931.06;14673.8;8719.6;9540.45;9540.45;0.0;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;5793.81;0.0;11706.0;10984.81;8790.2;2194.61;14673.8;-3528.6;0.0;0.0
3.0;26.75;66931.06;14673.8;8751.42;9540.45;9540.45;0.0;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;5275.13;0.0;11706.0;10639.9;8514.2;2125.7;14673.8;-3386.64;0.0;0.0
4.0;26.73;66931.06;14673.8;8727.68;9540.45;9540.45;0.0;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;5118.01;0.0;11706.0;10542.43;8436.2;2106.23;14673.8;-3303.26;0.0;0.0
5.0;26.7;66931.06;14673.8;8698.33;9540.45;9540.45;0.0;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;5361.21;0.0;11706.0;10641.16;8515.2;2125.96;14673.8;-3418.39;0.0;0.0
6.0;26.96;66931.06;14673.8;8959.7;9540.45;9540.45;0.0;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;5634.55;0.0;11706.0;11037.77;8832.6;2205.17;14673.8;-3556.48;0.0;0.0
7.0;56.37;66931.06;14673.8;9540.45;9540.45;9540.45;536.79;2689.57;2689.57;0.0;0.0;27259.0;0.0;2443.77;2443.77;5783.05;0.0;11706.0;12428.74;9948.6;2480.14;14673.8;-3431.56;0.0;0.0
8.0;148.05;66931.06;14673.8;9540.45;9540.45;9540.45;2689.57;2689.57;2689.57;229.81;0.0;27259.0;875.61;2443.77;2443.77;1523.0;0.0;11706.0;13858.45;11103.2;2755.25;14673.8;-1000.0;0.0;0.0
9.0;76.05;66931.06;14673.8;9540.45;9540.45;9540.45;2504.92;2689.57;2689.57;2687.01;0.0;27259.0;0.0;2443.77;2443.77;1479.55;0.0;11706.0;14418.03;11543.2;2874.83;14673.8;-1793.9;0.0;0.0
10.0;27.01;66931.06;14673.8;9014.02;9540.45;9540.45;0.0;2689.57;2689.57;7651.91;0.0;27259.0;0.0;2443.77;2443.77;1340.9;0.0;11706.0;14209.16;11370.4;2838.76;14673.8;-3797.68;0.0;0.0
11.0;23.23;66931.06;14673.8;5230.59;9540.45;9540.45;0.0;2689.57;2689.57;12142.05;0.0;27259.0;0.0;2443.77;2443.77;1229.16;0.0;11706.0;13724.35;10982.2;2742.15;14673.8;-4877.45;0.0;0.0
12.0;0.0;66931.06;14673.8;0.0;9540.45;9540.45;0.0;2689.57;2689.57;14758.27;0.0;27259.0;0.0;2443.77;2443.77;4539.28;0.0;11706.0;13323.0;10660.6;2662.4;14673.8;-5974.55;0.0;0.0
