Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;55.199751174096676;0.0;0.0;0.0;0.0;1312.2877348198872;9590.84223422202;9590.84223422202;28346.96830912415;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;22045.749980981996;0.0;72618.0;0.0;0.0;86952.0;-45705.00701101744;-43901.04;-1803.9670110174445;0.0;0.0;-5999.999999999952;0.0
2;54.36186092830423;0.0;0.0;0.0;0.0;1050.4470024644272;9590.84223422202;9590.84223422202;28346.968309124335;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;20881.000032984;0.0;72618.0;0.0;0.0;86952.0;-44278.41633190118;-42530.4;-1748.0163319011776;0.0;0.0;-5999.9999999999445;0.0
3;55.16093255108994;0.0;0.0;0.0;0.0;1300.1568723684802;9590.84223422202;9590.84223422202;28346.96830912436;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;20062.25001963;0.0;72618.0;0.0;0.0;86952.0;-43709.376188946284;-41984.159999999996;-1725.2161889462914;0.0;0.0;-5999.9999999999245;0.0
4;57.64010179343542;0.0;0.0;0.0;0.0;2074.897257984516;9590.84223422202;9590.84223422202;28346.968309124448;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;19590.500036016;0.0;72618.0;0.0;0.0;86952.0;-44012.366591427606;-42276.24;-1736.1265914276078;0.0;0.0;-5999.999999999297;0.0
5;60.5845629527136;0.0;0.0;0.0;0.0;2995.106065985753;9590.84223422202;9590.84223422202;28346.968309124448;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;19433.000017704;0.0;72618.0;0.0;0.0;86952.0;-45490.67296442534;-43697.52;-1793.1529644253471;0.0;0.0;-5284.401740663735;0.0
6;67.60026178629313;0.0;0.0;0.0;0.0;5187.303145932636;9590.84223422202;9590.84223422202;28346.968309124448;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;19541.999998794;0.0;72618.0;0.0;0.0;86952.0;-49090.29238068256;-47158.56;-1931.7323806825577;0.0;0.0;-3985.979837010429;0.0
7;90.28984826937149;0.0;0.0;0.0;0.0;9590.842234222004;9590.84223422202;9590.84223422202;28346.96830912445;28346.96830912426;28346.96830912426;2036.105326206305;6199.617966924479;6199.617966924479;19970.750032506003;0.0;72618.0;35.499979992;0.0;86952.0;-55924.21045916484;-53735.759999999995;-2188.450459164845;0.0;0.0;-4055.9595298908275;0.0
8;259.68236360042744;0.0;0.0;0.0;0.0;9590.84223422203;9590.84223422202;9590.84223422202;28346.96830912445;28346.96830912426;28346.96830912426;6199.617966924135;6199.617966924479;6199.617966924479;19768.749994266;0.0;72618.0;2228.999999016;0.0;86952.0;-60215.72344415458;-57957.6;-2258.123444154584;0.0;0.0;-5919.430814036946;0.0
9;102.52567381033958;0.0;0.0;0.0;0.0;9590.842234222027;9590.84223422202;9590.84223422202;28346.96830912445;28346.96830912426;28346.96830912426;3565.3848989575995;6199.617966924479;6199.617966924479;17854.999985004;0.0;72618.0;9530.7500274;0.0;86952.0;-62888.95646610109;-60435.36;-2453.596466101091;0.0;0.0;-5999.999999999984;0.0
10;72.66411869605379;0.0;0.0;0.0;0.0;6769.902947110474;9590.84223422202;9590.84223422202;28346.96830912444;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;14545.000016274;0.0;72618.0;19428.999987288;0.0;86952.0;-63090.87223111408;-60611.28;-2479.592231114082;0.0;0.0;-5999.999999999985;0.0
11;48.71889589227359;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;25898.619865275137;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;13913.999993165999;0.0;72618.0;28515.000012456;0.0;86952.0;-62327.619870899456;-59863.68;-2463.939870899459;0.0;0.0;-5999.999999999959;0.0
12;40.18114084948414;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;15226.426061834734;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;14956.249983402;0.0;72618.0;35306.249979528;0.0;86952.0;-60158.56788445537;-57775.439999999995;-2383.127884455375;0.0;0.0;-5330.358140310093;0.0
13;34.36795626587433;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;7959.945332310617;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;16080.750025158;0.0;72618.0;39113.000018232;0.0;86952.0;-57890.09751652639;-55593.6;-2296.497516526393;0.0;0.0;-5263.597859175315;0.0
14;32.01828239985949;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;5022.852999786433;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;17593.500025374;0.0;72618.0;39785.749989936;0.0;86952.0;-56940.01294666494;-54679.92;-2260.09294666494;0.0;0.0;-5462.090068432812;0.0
15;30.95427099306772;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;3692.8387412793345;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;19664.500029174;0.0;72618.0;37818.249957431995;0.0;86952.0;-55600.284008330374;-53392.799999999996;-2207.484008330382;0.0;0.0;-5575.3047195569125;0.0
16;38.33402224931325;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;12917.51818532642;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;14724.700010748;0.0;72618.0;33166.75002192;0.0;86952.0;-54815.978772220114;-52643.52;-2172.4587722201145;0.0;0.0;-5992.98944488378;0.0
17;35.932869251320525;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;9916.086564060788;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;24635.000033279997;0.0;72618.0;26151.75003828;0.0;86952.0;-54702.83663562389;-52533.6;-2169.2366356238963;0.0;0.0;-5999.999999999944;0.0
18;43.801995811729334;0.0;0.0;0.0;0.0;0.0;9590.84223422202;9590.84223422202;19752.494764606094;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;26239.749995550002;0.0;72618.0;16499.249994383998;0.0;86952.0;-56491.494754542015;-54255.6;-2235.894754542016;0.0;0.0;-5999.999999999959;0.0
19;4000.005370190073;0.0;0.0;0.0;0.0;9590.842234222031;9590.84223422202;9590.84223422202;28346.96830912407;28346.96830912426;28346.96830912426;6199.617966922033;6199.617966924479;6199.617966924479;26005.249989264;0.0;72618.0;6593.499989736;0.0;86952.0;-80659.26682423522;-80659.25423209569;-0.012592139530640156;15340.745767904315;0.0;3923.0688639265263;0.0
20;3999.971195379296;0.0;0.0;0.0;0.0;9590.842234222031;9590.84223422202;9590.84223422202;28346.96830912407;28346.96830912426;28346.96830912426;6199.617966922033;6199.617966924479;6199.617966924479;4894.099986048;0.0;72618.0;1033.499994336;0.0;86952.0;-54997.84434469191;-54997.83521378668;-0.009130905228970719;2494.884786213319;0.0;4932.77522405014;0.0
21;3995.3571225966125;0.0;0.0;0.0;0.0;9590.842234222031;9590.84223422202;9590.84223422202;28346.96830912407;28346.96830912426;28346.96830912426;6199.617966922029;6199.617966924479;6199.617966924479;13883.400002471999;0.0;72618.0;4.99974;0.0;86952.0;-57023.1564412631;-57020.39999995017;-2.7564413129239234;4.9833033699542284e-8;0.0;-1002.7124414544242;0.0
22;69.64716486603997;0.0;0.0;0.0;0.0;5827.10475664069;9590.84223422202;9590.84223422202;28346.96830912407;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;29112.000018738;0.0;72618.0;0.0;0.0;86952.0;-57286.07406069044;-55032.96;-2253.1140606904382;0.0;0.0;-6000.000000000004;0.0
23;60.64817306696139;0.0;0.0;0.0;0.0;3014.9197458211215;9590.84223422202;9590.84223422202;28346.96830912407;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;28376.24998299;0.0;72618.0;0.0;0.0;86952.0;-53738.13901713314;-51619.92;-2118.219017133137;0.0;0.0;-5999.999999999988;0.0
24;51.638277633218294;0.0;0.0;0.0;0.0;199.3273390661158;9590.84223422202;9590.84223422202;28346.968309096526;28346.96830912426;28346.96830912426;0.0;6199.617966924479;6199.617966924479;27203.750024178;0.0;72618.0;0.0;0.0;86952.0;-49750.04665495041;-47784.72;-1965.326654950409;0.0;0.0;-5999.999999999992;0.0
