Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;28.029610349530365;0.0;0.0;0.0;0.0;0.0;2596.695191624207;2596.695191624207;10015.915618645375;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2850.9999974820003;0.0;5439.0;0.0;0.0;10794.0;-8208.698491723204;-7882.5599999999995;-326.1384917232042;0.0;0.0;-4658.219011775846;0.0
2;27.69028310502373;0.0;0.0;0.0;0.0;0.0;2596.695191624207;2596.695191624207;9678.819756565295;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2692.000002636;0.0;5439.0;0.0;0.0;10794.0;-7812.086214463692;-7501.679999999999;-310.40621446369306;0.0;0.0;-4558.735124576122;0.0
3;27.55963962852848;0.0;0.0;0.0;0.0;0.0;2596.695191624207;2596.695191624207;9550.137434891734;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2451.000001212;0.0;5439.0;0.0;0.0;10794.0;-7640.643687596517;-7337.04;-303.60368759651715;0.0;0.0;-4360.495058059002;0.0
4;27.488251315345412;0.0;0.0;0.0;0.0;0.0;2596.695191624207;2596.695191624207;9478.82894174286;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2378.0000003970003;0.0;5439.0;0.0;0.0;10794.0;-7498.188314331934;-7200.24;-297.9483143319344;0.0;0.0;-4358.641926362991;0.0
5;27.537841012450613;0.0;0.0;0.0;0.0;0.0;2596.695191624207;2596.695191624207;9525.507334572392;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2491.0000008389998;0.0;5439.0;0.0;0.0;10794.0;-7572.164217590723;-7271.28;-300.8842175907227;0.0;0.0;-4444.344817620842;0.0
6;27.88745218871365;0.0;0.0;0.0;0.0;0.0;2596.695191624207;2596.695191624207;9874.571285635266;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2617.999998159;0.0;5439.0;0.0;0.0;10794.0;-7979.774026334788;-7662.719999999999;-317.0540263347881;0.0;0.0;-4512.799032689134;0.0
7;55.95982876954681;0.0;0.0;0.0;0.0;496.5470249976028;2596.695191624207;2596.695191624207;10686.000045216808;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;2687.000000643;0.0;5439.0;0.0;0.0;10794.0;-8869.53382225709;-8519.52;-350.01382225709045;0.0;0.0;-4999.9999999850925;0.0
8;288.17197890511665;0.0;0.0;0.0;0.0;2596.6951916242056;2596.695191624207;2596.695191624207;10686.000045216808;10686.000045216846;10686.000045216846;717.9146142240638;717.9146142240638;717.9146142240638;707.6372659440001;0.0;5439.0;91.00000434;0.0;10794.0;-9621.194285797501;-9263.039999999999;-358.15428579750153;0.0;0.0;-5178.052835551616;0.0
9;89.88371351008398;0.0;0.0;0.0;0.0;2596.6951916241915;2596.695191624207;2596.695191624207;10686.000045216808;10686.000045216846;10686.000045216846;148.5442653604489;717.9146142240638;717.9146142240638;687.446528559;0.0;5439.0;1063.999995114;0.0;10794.0;-10218.806700756626;-9818.88;-399.92670075662704;0.0;0.0;-4963.882519229069;0.0
10;51.9153994270884;0.0;0.0;0.0;0.0;91.45056628735176;2596.695191624207;2596.695191624207;10686.000045216822;10686.000045216846;10686.000045216846;0.0;717.9146142240638;717.9146142240638;623.028459333;0.0;5439.0;3029.999995764;0.0;10794.0;-10310.394542240696;-9903.119999999999;-407.27454224069766;0.0;0.0;-4120.087055279581;0.0
