Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;28.05560819195492;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;10068.064803290581;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2742.249994848;0.0;11706.0;0.0;0.0;27259.0;-11468.531526093355;-11012.88;-455.65152609335536;0.0;0.0;-1341.7809882185702;0.0
2;27.71204488611192;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;9722.471855535716;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2703.49999764;0.0;11706.0;0.0;0.0;27259.0;-10984.705066043605;-10548.24;-436.4650660436054;0.0;0.0;-1441.2648754183315;0.0
3;27.57767837793404;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;9586.321503645537;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2692.999996584;0.0;11706.0;0.0;0.0;27259.0;-10639.814973629682;-10217.039999999999;-422.7749736296826;0.0;0.0;-1639.5049419357335;0.0
4;27.506138525127206;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;9514.709046751304;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2669.000004204;0.0;11706.0;0.0;0.0;27259.0;-10542.349405975447;-10123.44;-418.9094059754456;0.0;0.0;-1641.3580736322367;0.0
5;27.56125498638889;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;9572.473612284159;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2624.250003048;0.0;11706.0;0.0;0.0;27259.0;-10641.066376118806;-10218.24;-422.82637611880597;0.0;0.0;-1555.655182375118;0.0
6;27.91190505267211;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;9923.621431792508;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2601.249995718;0.0;11706.0;0.0;0.0;27259.0;-11037.66831211493;-10599.119999999999;-438.54831211493166;0.0;0.0;-1487.2009673077412;0.0
7;57.4401210576002;0.0;0.0;0.0;0.0;643.4839992122455;2219.348481119791;2219.348481119791;10147.857203213154;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2637.249995994;0.0;11706.0;0.0;0.0;27259.0;-12428.606924970974;-11938.32;-490.286924970975;0.0;0.0;-1000.000000013713;0.0
8;295.52728601455294;0.0;0.0;0.0;0.0;2219.3484811197886;2219.348481119791;2219.348481119791;10147.857203213154;10147.857203213098;10147.857203213098;623.8520991057924;623.8520991057926;623.8520991057926;316.80000477;0.0;11706.0;22.000002907;0.0;27259.0;-13837.983767974036;-13323.84;-514.1437679740368;0.0;0.0;508.12597685835533;0.0
9;89.89533804252352;0.0;0.0;0.0;0.0;2219.348481119744;2219.348481119791;2219.348481119791;10147.857203213154;10147.857203213098;10147.857203213098;148.6936680436836;623.8520991057926;623.8520991057926;2507.999999718;0.0;11706.0;428.25001167199997;0.0;27259.0;-14416.028994696013;-13851.84;-564.1889946960122;0.0;0.0;-1036.1174800797128;0.0
10;51.92718579322126;0.0;0.0;0.0;0.0;92.78932128794975;2219.348481119791;2219.348481119791;10147.857203213154;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;1996.99999515;0.0;11706.0;1420.2499990219999;0.0;27259.0;-14205.619583895666;-13644.48;-561.1395838956663;0.0;0.0;547.7251425671463;0.0
11;30.221051671368237;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;10147.857203212936;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;1548.250005204;0.0;11706.0;2379.750007478;0.0;27259.0;-13723.601322109116;-13178.64;-544.9613221091173;0.0;0.0;-352.2528912617431;0.0
12;24.869626952591755;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;6895.786426615524;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;1360.249994658;0.0;11706.0;3263.5000080930004;0.0;27259.0;-13322.435924454172;-12792.72;-529.7159244541726;0.0;0.0;1802.9042064563293;0.0
13;21.62788722465411;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;3664.8157947310087;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;1595.999996628;0.0;11706.0;3975.000006082;0.0;27259.0;-12918.455392325364;-12404.4;-514.0553923253656;0.0;0.0;3682.6457847110714;0.0
14;20.33436910029031;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;2360.9105466914107;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;1905.750004368;0.0;11706.0;4362.499993474;0.0;27259.0;-12907.624772045143;-12393.84;-513.7847720451431;0.0;0.0;4278.4685906161085;0.0
15;19.61927565919471;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;1638.4514788604483;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;2355.000004398;0.0;11706.0;4377.2500019280005;0.0;27259.0;-12772.743581323506;-12264.24;-508.50358132350584;0.0;0.0;4402.045233738976;0.0
16;22.93570133519527;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;4951.029674324758;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;3071.9999962379998;0.0;11706.0;4046.2499891670004;0.0;27259.0;-12671.093123252265;-12167.039999999999;-504.05312325226623;0.0;0.0;601.8160953377433;0.0
17;22.037917725874273;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;4054.85087924798;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;3758.500005078;0.0;11706.0;3579.7500124000003;0.0;27259.0;-12718.696439925983;-12212.64;-506.0564399259832;0.0;0.0;1325.5983456583258;0.0
18;26.148220538445862;0.0;0.0;0.0;0.0;0.0;2219.348481119791;2219.348481119791;8149.546003750709;10147.857203213098;10147.857203213098;0.0;623.8520991057926;623.8520991057926;4183.250002644;0.0;11706.0;2769.999991826;0.0;27259.0;-13317.0169251102;-12787.68;-529.3369251101989;0.0;0.0;-1785.7785816626802;0.0
