Timestep;EOM_price;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;NetworkManager;ENS_Cons_A
1.0;56.16;27502.99;27502.99;27502.99;1613.9;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;22045.75;0.0;72618.0;45704.57;43901.04;1803.53;-5458.07;0.0
2.0;55.02;27502.99;27502.99;27502.99;1257.76;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;20881.0;0.0;72618.0;44278.12;42530.4;1747.72;-5363.62;0.0
3.0;55.53;27502.99;27502.99;27502.99;1414.53;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;20062.25;0.0;72618.0;43709.22;41984.16;1725.06;-5270.55;0.0
4.0;56.69;27502.99;27502.99;27502.99;1778.38;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;19590.5;0.0;72618.0;44012.78;42276.24;1736.54;-4859.08;0.0
5.0;59.21;27502.99;27502.99;27502.99;2566.77;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;19433.0;0.0;72618.0;45491.3;43697.52;1793.78;-4011.47;0.0
6.0;66.59;27502.99;27502.99;27502.99;4872.82;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;19542.0;0.0;72618.0;49090.79;47158.56;1932.23;-2827.02;0.0
7.0;88.68;27502.99;27502.99;27502.99;8678.12;8678.12;8678.12;35.5;0.0;86952.0;1834.88;4926.2;4926.2;19970.75;0.0;72618.0;55925.11;53735.76;2189.35;-2097.12;0.0
8.0;138.67;27502.99;27502.99;27502.99;8678.12;8678.12;8678.12;2229.0;0.0;86952.0;4926.2;4926.2;4926.2;19768.75;0.0;72618.0;60221.97;57957.6;2264.37;-2883.08;0.0
9.0;105.67;27502.99;27502.99;27502.99;8678.12;8678.12;8678.12;9530.75;0.0;86952.0;3958.16;4926.2;4926.2;17855.0;0.0;72618.0;62886.98;60435.36;2451.62;-4638.03;0.0
10.0;65.95;27502.99;27502.99;27502.99;4672.17;8678.12;8678.12;19429.0;0.0;86952.0;0.0;4926.2;4926.2;14545.0;0.0;72618.0;63095.11;60611.28;2483.83;-3054.04;0.0
11.0;45.77;22218.0;27502.99;27502.99;0.0;8678.12;8678.12;28515.0;0.0;86952.0;0.0;4926.2;4926.2;13914.0;0.0;72618.0;62329.46;59863.68;2465.78;-2317.54;0.0
12.0;36.54;10677.71;27502.99;27502.99;0.0;8678.12;8678.12;35306.25;0.0;86952.0;0.0;4926.2;4926.2;14956.25;0.0;72618.0;60160.76;57775.44;2385.32;-779.45;0.0
13.0;29.69;2116.31;27502.99;27502.99;0.0;8678.12;8678.12;39113.0;0.0;86952.0;0.0;4926.2;4926.2;16080.75;0.0;72618.0;57892.8;55593.6;2299.2;582.75;0.0
14.0;0.0;0.0;27502.99;27502.99;0.0;8678.12;8678.12;39785.75;0.0;86952.0;0.0;4926.2;4926.2;17269.86;0.0;72618.0;56958.25;54679.92;2278.33;-97.36;0.0
15.0;0.0;0.0;27502.99;27502.99;0.0;8678.12;8678.12;37054.32;0.0;86952.0;0.0;4926.2;4926.2;19664.5;0.0;72618.0;55617.5;53392.8;2224.7;-1101.32;0.0
16.0;32.76;5944.06;27502.99;27502.99;0.0;8678.12;8678.12;33166.75;0.0;86952.0;0.0;4926.2;4926.2;14724.7;0.0;72618.0;54819.04;52643.52;2175.52;983.53;0.0
17.0;32.05;5063.59;27502.99;27502.99;0.0;8678.12;8678.12;26151.75;0.0;86952.0;0.0;4926.2;4926.2;24635.0;0.0;72618.0;54704.96;52533.6;2171.36;-1145.38;0.0
18.0;42.01;17511.54;27502.99;27502.99;0.0;8678.12;8678.12;16499.25;0.0;86952.0;0.0;4926.2;4926.2;26239.75;0.0;72618.0;56492.51;54255.6;2236.91;-3758.03;0.0
19.0;1530.3;27502.99;27502.99;27502.99;8678.12;8678.12;8678.12;6593.5;0.0;86952.0;4926.2;4926.2;4926.2;26005.25;0.0;72618.0;79597.67;79597.66;0.01;5891.62;16402.34
20.0;1472.3;27502.99;27502.99;27502.99;8678.12;8678.12;8678.12;1033.5;0.0;86952.0;4926.2;4926.2;4926.2;4894.1;0.0;72618.0;48034.91;48034.9;0.01;1000.0;9457.82
21.0;1457.81;27502.99;27502.99;27502.99;8678.12;8678.12;8678.12;5.0;0.0;86952.0;4926.2;4926.2;4926.2;13883.4;0.0;72618.0;56588.76;56588.75;0.01;1593.06;431.65
22.0;72.34;27502.99;27502.99;27502.99;6669.54;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;29112.0;0.0;72618.0;57284.53;55032.96;2251.57;-6000.0;0.0
23.0;63.34;27502.99;27502.99;27502.99;3857.45;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;28376.25;0.0;72618.0;53736.69;51619.92;2116.77;-6000.0;0.0
24.0;54.33;27502.99;27502.99;27502.99;1041.97;8678.12;8678.12;0.0;0.0;86952.0;0.0;4926.2;4926.2;27203.75;0.0;72618.0;49748.7;47784.72;1963.98;-6000.0;0.0
