Timestep;EOM_price;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;NetworkManager;ENS_Cons_B
1.0;26.95;8945.11;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;1651.2;0.0;5439.0;8208.79;7882.56;326.23;-2387.53;0.0
2.0;26.72;8719.6;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;1563.96;0.0;5439.0;7812.16;7501.68;310.48;-2471.4;0.0
3.0;26.75;8751.42;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;1502.64;0.0;5439.0;7640.71;7337.04;303.67;-2613.36;0.0
4.0;26.73;8727.68;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;1467.3;0.0;5439.0;7498.25;7200.24;298.01;-2696.74;0.0
5.0;26.7;8698.33;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;1455.51;0.0;5439.0;7572.23;7271.28;300.95;-2581.61;0.0
6.0;26.96;8959.7;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;1463.67;0.0;5439.0;7979.85;7662.72;317.13;-2443.52;0.0
7.0;57.74;8997.36;8997.36;8997.36;673.85;2336.94;2336.94;4.41;0.0;10794.0;0.0;1684.35;1684.35;1495.78;0.0;5439.0;8869.38;8519.52;349.86;-2302.02;0.0
8.0;136.05;8997.36;8997.36;8997.36;2336.94;2336.94;2336.94;276.7;0.0;10794.0;725.63;1684.35;1684.35;1480.66;0.0;5439.0;9621.66;9263.04;358.62;-4195.63;0.0
9.0;83.32;8997.36;8997.36;8997.36;2336.94;2336.94;2336.94;1183.12;0.0;10794.0;66.51;1684.35;1684.35;1337.32;0.0;5439.0;10219.48;9818.88;400.6;-3701.78;0.0
10.0;27.03;8997.36;8997.36;8997.36;0.0;2336.94;2336.94;2411.87;0.0;10794.0;0.0;1684.35;1684.35;1089.4;0.0;5439.0;10312.96;9903.12;409.84;-2185.66;0.0
11.0;24.76;6759.45;8997.36;8997.36;0.0;2336.94;2336.94;3539.78;0.0;10794.0;0.0;1684.35;1684.35;1042.14;0.0;5439.0;10244.96;9837.6;407.36;-1096.41;0.0
12.0;21.69;3692.25;8997.36;8997.36;0.0;2336.94;2336.94;4382.83;0.0;10794.0;0.0;1684.35;1684.35;1120.2;0.0;5439.0;10195.29;9789.6;405.69;1000.0;0.0
13.0;18.28;284.14;8997.36;8997.36;0.0;2336.94;2336.94;4855.39;0.0;10794.0;0.0;1684.35;1684.35;1204.43;0.0;5439.0;9922.44;9527.28;395.16;3578.48;0.0
14.0;0.0;0.0;8997.36;8997.36;0.0;2336.94;2336.94;4583.77;0.0;10794.0;0.0;1684.35;1684.35;1317.73;0.0;5439.0;9793.5;9401.76;391.74;3892.0;0.0
15.0;0.0;0.0;8997.36;8997.36;0.0;2336.94;2336.94;4213.12;0.0;10794.0;0.0;1684.35;1684.35;1472.85;0.0;5439.0;9589.5;9205.92;383.58;3903.53;0.0
16.0;20.48;2475.67;8997.36;8997.36;0.0;2336.94;2336.94;4117.24;0.0;10794.0;0.0;1684.35;1684.35;1102.86;0.0;5439.0;9237.11;8869.44;367.67;1541.34;0.0
17.0;19.78;1778.56;8997.36;8997.36;0.0;2336.94;2336.94;3246.41;0.0;10794.0;0.0;1684.35;1684.35;1845.13;0.0;5439.0;8904.24;8549.76;354.48;2034.14;0.0
18.0;24.26;6257.17;8997.36;8997.36;0.0;2336.94;2336.94;2048.17;0.0;10794.0;0.0;1684.35;1684.35;1965.33;0.0;5439.0;9245.51;8877.84;367.67;-1025.17;0.0
19.0;61.72;8997.36;8997.36;8997.36;1071.72;2336.94;2336.94;818.5;0.0;10794.0;0.0;1684.35;1684.35;1675.81;0.0;5439.0;9395.7;9025.44;370.26;-3167.69;0.0
20.0;3206.08;8997.36;8997.36;8997.36;2336.94;2336.94;2336.94;128.3;0.0;10794.0;1684.35;1684.35;1684.35;366.56;0.0;5439.0;14519.09;14400.0;119.09;1005.58;0.0
21.0;209.17;8997.36;8997.36;8997.36;2336.94;2336.94;2336.94;0.62;0.0;10794.0;1639.63;1684.35;1684.35;1039.85;0.0;5439.0;8738.05;8738.05;0.01;-5276.34;303.23
22.0;66.59;8997.36;8997.36;8997.36;1558.91;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;2180.45;0.0;5439.0;9315.54;8948.88;366.66;-3421.18;0.0
23.0;42.03;8997.36;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;2125.35;0.0;5439.0;9101.92;8741.52;360.4;-2020.78;0.0
24.0;38.16;8997.36;8997.36;8997.36;0.0;2336.94;2336.94;0.0;0.0;10794.0;0.0;1684.35;1684.35;2037.53;0.0;5439.0;8661.44;8318.16;343.28;-2373.44;0.0
