Timestep;EOM_price;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;NetworkManager;ENS_Cons_C
1.0;56.16;3020.56;5477.93;5477.93;36.39;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;6136.02;0.0;11706.0;11465.31;11012.88;452.43;2272.34;0.0
2.0;55.02;2878.1;5477.93;5477.93;0.78;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;5793.81;0.0;11706.0;10981.7;10548.24;433.46;2309.01;0.0
3.0;55.53;2940.81;5477.93;5477.93;16.45;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;5275.13;0.0;11706.0;10636.84;10217.04;419.8;2404.45;0.0
4.0;56.69;3086.35;5477.93;5477.93;52.84;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;5118.01;0.0;11706.0;10539.27;10123.44;415.83;2282.07;0.0
5.0;59.21;3401.71;5477.93;5477.93;131.68;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;5361.21;0.0;11706.0;10637.7;10218.24;419.46;1743.1;0.0
6.0;66.59;4324.13;5477.93;5477.93;362.28;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;5634.55;0.0;11706.0;11033.4;10599.12;434.28;712.44;0.0
7.0;88.68;5477.93;5477.93;5477.93;1052.47;3078.57;3078.57;0.0;0.0;27259.0;133.49;3234.15;3234.15;5783.05;0.0;11706.0;12424.72;11938.32;486.4;-22.22;0.0
8.0;223.61;5477.93;5477.93;5477.93;3078.57;3078.57;3078.57;229.81;0.0;27259.0;1820.14;3234.15;3234.15;1523.0;0.0;11706.0;13844.39;13323.84;520.55;1714.95;0.0
9.0;105.67;5477.93;5477.93;5477.93;1583.29;3078.57;3078.57;2687.01;0.0;27259.0;345.82;3234.15;3234.15;1479.55;0.0;11706.0;14413.75;13851.84;561.91;2840.16;0.0
10.0;65.95;4243.87;5477.93;5477.93;342.22;3078.57;3078.57;7651.91;0.0;27259.0;0.0;3234.15;3234.15;1340.9;0.0;11706.0;14203.63;13644.48;559.15;624.73;0.0
11.0;45.77;1721.8;5477.93;5477.93;0.0;3078.57;3078.57;12142.05;0.0;27259.0;0.0;3234.15;3234.15;1229.16;0.0;11706.0;13721.47;13178.64;542.83;-1371.54;0.0
12.0;0.0;0.0;5477.93;5477.93;0.0;3078.57;3078.57;11875.12;0.0;27259.0;0.0;3234.15;3234.15;4539.28;0.0;11706.0;13320.88;12792.72;528.16;-3093.52;0.0
13.0;0.0;0.0;5477.93;5477.93;0.0;3078.57;3078.57;17361.65;0.0;27259.0;0.0;3234.15;3234.15;0.0;0.0;11706.0;12917.41;12404.4;513.01;-4444.23;0.0
14.0;0.0;0.0;5477.93;5477.93;0.0;3078.57;3078.57;16593.59;0.0;27259.0;0.0;3234.15;3234.15;0.0;0.0;11706.0;12910.25;12393.84;516.41;-3683.34;0.0
15.0;0.0;0.0;5477.93;5477.93;0.0;3078.57;3078.57;15511.09;0.0;27259.0;0.0;3234.15;3234.15;0.0;0.0;11706.0;12775.25;12264.24;511.01;-2735.84;0.0
16.0;32.76;94.41;5477.93;5477.93;0.0;3078.57;3078.57;15235.64;0.0;27259.0;0.0;3234.15;3234.15;1994.8;0.0;11706.0;12669.85;12167.04;502.81;-4655.0;0.0
17.0;32.05;6.36;5477.93;5477.93;0.0;3078.57;3078.57;12904.71;0.0;27259.0;0.0;3234.15;3234.15;2216.21;0.0;11706.0;12717.42;12212.64;504.78;-2409.87;0.0
18.0;42.01;1251.15;5477.93;5477.93;0.0;3078.57;3078.57;9497.97;0.0;27259.0;0.0;3234.15;3234.15;2536.96;0.0;11706.0;13314.9;12787.68;527.22;28.82;0.0
19.0;189.98;5477.93;5477.93;5477.93;3078.57;3078.57;3078.57;4775.5;0.0;27259.0;1399.73;3234.15;3234.15;2983.92;0.0;11706.0;13174.05;13129.2;44.85;-4541.6;0.0
20.0;4000.0;5477.93;5477.93;5477.93;3078.57;3078.57;3078.57;1007.63;0.0;27259.0;3234.15;3234.15;3234.15;3339.84;0.0;11706.0;10138.12;10138.11;0.0;-6000.0;3518.37
21.0;318.54;5477.93;5477.93;5477.93;3078.57;3078.57;3078.57;22.73;0.0;27259.0;3006.76;3234.15;3234.15;2123.72;0.0;11706.0;12143.27;12143.26;0.0;-1566.43;7056.74
22.0;138.41;5477.93;5477.93;5477.93;2606.67;3078.57;3078.57;0.0;0.0;27259.0;755.17;3234.15;3234.15;729.63;0.0;11706.0;14257.74;13706.4;551.34;4688.33;0.0
23.0;83.57;5477.93;5477.93;5477.93;892.93;3078.57;3078.57;0.0;0.0;27259.0;69.67;3234.15;3234.15;2818.38;0.0;11706.0;13309.87;12788.16;521.71;4050.95;0.0
24.0;73.68;5209.62;5477.93;5477.93;583.65;3078.57;3078.57;0.0;0.0;27259.0;0.0;3234.15;3234.15;2623.87;0.0;11706.0;12416.1;11928.24;487.86;3998.96;0.0
